year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2001,21,58,120,183,183,983,368,43,44,28,3,AC
2002,21,21,60,102,125,334,183,12,11,20,3,AC
2003,15,33,51,58,88,414,230,26,31,17,5,AC
2004,27,93,194,332,511,2275,939,116,78,87,25,AC
2005,7,30,77,141,259,1160,452,49,39,42,22,AC
2006,5,5,15,30,22,118,57,4,4,2,1,AC
2007,3,10,40,44,50,230,101,14,5,7,1,AC
2008,15,35,126,170,157,744,328,33,18,35,9,AC
2009,112,719,1218,1377,1619,7787,3599,422,317,246,53,AC
2010,411,1469,2334,2976,3384,14600,6401,710,491,873,246,AC
2011,160,734,1440,1572,2064,7977,3442,420,249,334,116,AC
2012,26,35,100,167,219,978,559,49,46,34,19,AC
2013,14,58,120,176,249,997,544,72,35,51,13,AC
2014,693,1380,1817,2611,3132,10578,4929,674,516,689,265,AC
2015,131,315,366,511,575,1877,901,142,63,120,42,AC
2016,28,48,74,106,180,566,279,30,20,21,9,AC
2017,31,35,67,123,188,706,363,42,28,35,8,AC
2018,142,181,313,519,748,2451,1213,182,97,138,49,AC
2019,226,289,496,801,978,4067,2166,254,210,255,86,AC
2020,104,152,287,446,622,2762,1653,221,146,196,77,AC
2001,23,63,74,94,150,591,360,52,45,48,17,AL
2002,83,156,273,429,705,2813,1197,110,71,77,18,AL
2003,32,87,218,374,691,2340,1183,150,72,90,19,AL
2004,27,73,200,328,517,1889,943,103,55,60,11,AL
2005,8,47,129,201,275,1094,478,73,38,36,4,AL
2006,18,45,145,256,308,1340,568,56,48,30,9,AL
2007,135,351,627,845,1078,4115,1804,171,123,93,32,AL
2008,217,610,1064,947,928,3102,1304,143,72,77,23,AL
2009,47,136,193,352,304,1339,442,63,25,28,6,AL
2010,790,2768,4349,4763,4686,12845,5740,593,418,370,145,AL
2011,134,270,516,645,875,2756,981,97,78,74,66,AL
2012,389,761,1187,2292,3286,11380,5023,484,292,301,100,AL
2013,159,464,671,852,1282,4119,1548,153,116,112,55,AL
2014,249,271,428,875,1509,5167,2134,228,124,155,37,AL
2015,540,830,1104,1543,1870,6684,3480,432,332,431,144,AL
2016,281,473,690,1082,1363,4539,2708,513,422,574,250,AL
2017,54,68,49,181,505,1189,493,66,70,104,28,AL
2018,40,64,81,144,339,1032,301,42,38,37,16,AL
2019,350,695,1248,1494,1733,4976,2387,305,241,271,98,AL
2020,78,114,200,187,236,840,443,40,37,32,9,AL
2001,40,41,107,175,310,1295,659,85,64,90,22,AP
2002,10,21,38,56,86,308,172,24,5,12,5,AP
2003,36,52,172,293,405,1738,893,109,84,79,18,AP
2004,32,27,83,175,235,1272,600,70,58,44,5,AP
2005,26,27,88,128,234,1192,593,57,37,36,12,AP
2006,20,31,85,139,164,739,408,39,25,29,11,AP
2007,65,84,197,259,278,1533,850,100,80,61,26,AP
2008,30,55,87,86,99,421,211,27,19,11,4,AP
2009,13,49,109,136,132,463,274,35,10,17,4,AP
2010,53,115,204,269,171,863,530,67,33,50,7,AP
2011,28,90,168,212,213,816,465,38,31,48,10,AP
2012,25,44,74,127,119,515,330,56,31,26,7,AP
2013,42,69,125,125,144,561,384,37,26,33,9,AP
2014,22,31,42,92,127,340,206,20,15,21,2,AP
2015,71,97,190,300,379,1191,710,82,60,58,21,AP
2016,33,61,97,130,178,771,448,37,27,21,3,AP
2017,25,40,50,77,84,372,199,24,12,22,7,AP
2018,20,23,51,62,68,259,203,33,17,14,4,AP
2019,13,12,15,15,21,62,33,5,8,3,2,AP
2020,4,9,5,1,4,5,8,1,2,2,1,AP
2001,158,814,1077,1456,2141,9110,3433,322,235,230,54,AM
2002,20,39,83,126,247,1138,455,41,27,23,6,AM
2003,61,209,309,349,369,1709,768,69,36,29,7,AM
2004,21,87,104,108,86,322,156,7,7,8,4,AM
2005,9,53,99,106,75,413,213,15,7,13,1,AM
2006,53,62,68,70,38,179,91,13,8,6,1,AM
2007,90,176,322,323,98,375,156,9,7,10,0,AM
2008,223,839,1411,1338,489,1871,894,81,56,63,21,AM
2009,32,60,136,150,154,551,265,29,20,16,2,AM
2010,123,265,719,835,600,2246,1118,148,93,99,40,AM
2011,1243,3918,5636,6554,5930,21434,10129,1065,673,775,247,AM
2012,124,293,328,385,474,1677,618,71,56,55,17,AM
2013,348,776,1084,1603,1659,6505,2784,307,179,235,89,AM
2014,110,156,250,347,393,1534,848,116,63,71,24,AM
2015,42,90,129,221,296,1117,614,80,44,58,23,AM
2016,44,62,85,159,170,705,406,57,28,36,24,AM
2017,26,59,110,177,191,647,356,39,29,32,14,AM
2018,11,31,43,54,73,284,112,13,13,7,9,AM
2019,48,121,194,285,348,1112,654,70,69,61,28,AM
2020,52,128,302,488,406,1586,1057,123,83,103,46,AM
2001,78,284,400,595,910,3494,1805,260,137,177,32,BA
2002,127,673,968,1560,2257,8492,4296,524,357,405,112,BA
2003,220,513,911,1604,2439,9369,5000,632,433,501,173,BA
2004,22,51,85,185,236,974,476,70,41,40,21,BA
2005,119,211,478,807,1126,4303,2400,311,224,231,70,BA
2006,63,128,200,329,397,1766,1034,155,108,129,31,BA
2007,123,176,350,472,628,2614,1509,171,143,119,45,BA
2008,338,718,1443,1753,1811,7120,3948,522,390,395,117,BA
2009,1351,4047,7145,7247,6576,23244,12056,1470,1134,1194,387,BA
2010,530,1189,2565,3372,3198,10485,5660,718,581,621,156,BA
