DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2016
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"IG";"Total"
"Semana 01";231;20;41;3;141;16;304;65;57;183;65;543;2506;389;63;950;7979;1881;2173;5297;1081;34;25;2113;1237;2018;339;1;29755
"Semana 02";286;31;49;3;160;12;374;181;52;204;141;420;2371;422;81;944;9975;2083;2050;6139;1505;48;19;2724;1289;2811;401;-;34775
"Semana 03";371;65;51;2;201;11;278;254;61;233;184;542;2585;335;82;1001;11178;2580;2206;7462;2349;54;26;3176;1440;2931;411;-;40069
"Semana 04";363;75;49;3;235;49;313;495;73;309;369;466;2859;367;62;1169;13384;2448;2114;9222;2778;88;21;3642;1339;3270;517;-;46079
"Semana 05";317;79;57;2;301;33;364;170;95;420;602;320;2367;529;197;1546;18595;2475;1935;10268;2934;139;37;2786;1518;4100;774;1;52961
"Semana 06";238;74;61;2;224;37;282;145;75;321;611;577;1545;486;78;1189;16718;1959;1498;10182;3327;201;44;2271;1151;3403;907;-;47606
"Semana 07";380;98;86;6;390;91;478;339;111;633;1445;573;3065;604;123;3333;28456;2407;2330;12370;4025;340;62;2304;1537;5276;1087;-;71949
"Semana 08";461;79;73;3;423;78;436;371;61;850;1122;666;2575;819;151;3653;33530;2576;2301;12588;4146;295;83;1963;1377;5213;1083;2;76978
"Semana 09";316;87;87;3;422;94;382;629;92;741;961;602;2543;777;100;3001;33067;2158;1600;12292;4281;471;143;1782;1113;4673;1322;5;73744
"Semana 10";285;60;53;16;349;80;337;741;103;809;654;853;2207;663;129;2516;30536;1929;1374;11911;4193;481;196;1741;821;4498;1177;1;68713
"Semana 11";220;44;48;9;313;151;258;733;107;906;793;848;1742;348;56;1742;30372;1805;1434;11629;3775;374;192;1386;715;4139;1256;-;65395
"Semana 12";154;33;41;6;246;53;177;526;63;916;629;765;1176;313;38;1171;23909;1504;1190;10228;3689;306;231;964;507;3191;835;-;52861
"Semana 13";175;47;104;14;297;73;219;703;99;1201;412;612;1514;367;50;1311;29276;1744;1595;11221;4228;390;246;1420;459;4074;929;1;62781
"Semana 14";170;40;89;8;285;84;181;738;178;1388;374;565;958;449;34;1127;28198;1385;1664;9755;3662;232;203;1092;360;3822;810;-;57851
"Semana 15";133;58;78;-;328;94;187;776;251;1520;297;552;779;459;46;1013;27228;1344;1588;8934;3524;266;218;996;351;3588;742;-;55350
"Semana 16";88;29;59;2;202;48;159;1204;194;1987;141;578;813;429;51;779;20078;1072;1104;7215;3022;236;216;724;218;2593;581;1;43823
"Semana 17";67;34;75;-;220;61;187;1059;199;2635;139;549;695;382;38;593;19947;1117;1512;7181;2100;254;208;474;225;2696;616;1;43264
"Semana 18";44;22;51;-;188;43;220;616;160;2679;81;571;616;364;17;468;14943;681;1556;5748;1200;154;158;282;149;2291;489;-;33791
"Semana 19";38;29;25;4;188;57;169;355;179;2125;78;534;350;391;26;484;9811;564;1124;3142;556;46;69;170;136;1997;409;-;23056
"Semana 20";23;15;35;3;167;61;153;348;222;2177;99;540;557;366;28;377;7514;425;893;2601;384;24;34;107;105;1675;271;-;19204
"Semana 21";26;10;36;1;100;22;94;350;120;2043;68;470;456;234;24;189;4313;211;556;1474;205;12;18;51;115;1062;208;-;12468
"Semana 22";15;17;50;2;105;30;113;213;91;1745;84;422;314;258;22;181;4007;215;578;1150;174;6;14;69;99;1148;225;-;11347
"Semana 23";22;13;46;1;73;33;87;333;124;1466;41;440;328;302;20;255;2682;165;593;641;73;2;5;43;80;932;178;-;8978
"Semana 24";6;13;32;2;73;16;62;239;89;1424;47;345;317;210;22;177;1277;102;482;510;67;-;-;22;63;740;174;-;6511
"Semana 25";7;17;31;2;71;18;40;116;93;1071;50;272;208;267;10;105;993;109;349;430;62;1;2;38;45;611;93;-;5111
"Semana 26";20;10;18;2;52;11;24;63;87;1059;24;228;263;173;9;90;673;88;416;315;58;1;1;49;58;436;86;-;4314
"Semana 27";12;16;23;4;60;17;24;141;57;1011;65;150;268;171;13;74;453;86;417;279;44;-;-;16;48;345;50;-;3844
"Semana 28";17;15;21;4;67;13;33;73;55;872;30;126;192;238;22;83;283;83;327;226;41;-;-;22;49;303;46;-;3241
"Semana 29";11;15;16;4;46;18;20;107;30;827;38;128;167;130;22;45;245;112;355;157;16;1;-;13;40;258;42;-;2863
"Semana 30";9;6;15;1;56;18;22;45;37;668;31;96;141;181;18;53;256;70;215;146;23;2;-;13;33;249;83;-;2487
"Semana 31";7;12;16;11;36;15;20;113;29;616;23;48;134;154;27;47;245;51;109;102;23;2;1;9;50;193;36;-;2129
"Semana 32";5;9;8;5;49;14;7;89;35;464;23;49;156;141;31;64;159;84;112;90;20;-;-;11;48;223;11;-;1907
"Semana 33";1;2;14;7;32;32;16;77;21;408;18;39;193;98;26;60;184;69;163;101;12;1;2;15;61;263;11;-;1926
"Semana 34";1;11;15;5;45;25;17;102;25;428;12;36;162;75;26;61;207;54;154;68;13;-;-;23;58;205;38;-;1866
"Semana 35";1;8;8;7;35;20;14;72;26;319;14;35;140;114;18;43;131;89;112;81;17;-;-;10;39;213;9;-;1575
"Semana 36";2;7;1;4;37;14;5;36;14;229;7;24;142;95;14;58;115;63;54;52;6;-;-;5;40;173;12;-;1209
"Semana 37";4;6;8;6;38;12;14;18;19;283;7;27;104;63;14;34;137;77;109;58;13;1;-;10;57;208;26;-;1353
"Semana 38";-;13;9;8;46;29;14;7;14;274;6;19;103;89;17;47;199;75;58;68;21;-;-;23;58;238;5;-;1440
"Semana 39";7;4;6;1;31;29;11;4;17;221;4;11;112;79;13;40;200;50;109;81;18;2;-;16;71;243;16;-;1396
"Semana 40";3;8;6;4;35;36;10;37;15;191;2;5;107;43;15;55;92;54;42;69;26;-;-;14;61;202;20;-;1152
"Semana 41";8;4;8;3;19;17;15;17;12;187;9;15;52;33;7;36;188;59;104;81;20;-;1;11;54;255;6;-;1221
"Semana 42";9;12;12;4;31;25;11;4;22;186;7;16;70;51;11;59;189;89;93;133;29;-;-;15;42;324;5;-;1449
"Semana 43";4;7;7;2;40;13;15;6;16;183;-;12;100;36;28;61;163;61;54;100;23;1;2;12;40;320;8;-;1314
"Semana 44";16;2;8;1;26;4;18;24;13;175;6;14;66;45;10;69;193;53;85;97;23;3;-;10;46;320;8;-;1335
"Semana 45";18;8;11;3;31;9;21;44;7;325;8;13;74;21;9;61;144;82;54;131;32;-;-;15;78;378;12;-;1589
"Semana 46";8;10;30;6;40;12;24;32;3;360;6;8;37;26;8;67;145;100;113;107;21;2;-;15;64;318;2;-;1564
"Semana 47";27;17;20;1;48;6;25;31;15;322;8;12;83;22;3;53;236;135;144;130;33;-;3;10;109;421;13;-;1927
"Semana 48";60;11;13;-;37;28;38;33;18;376;13;8;50;22;5;91;249;192;127;139;18;-;-;16;118;431;4;-;2097
"Semana 49";150;18;13;-;41;18;22;30;12;266;6;15;71;41;15;69;328;226;134;123;15;-;1;27;112;478;13;-;2244
"Semana 50";119;19;17;1;40;10;34;30;17;226;10;6;54;26;9;77;257;185;128;124;19;1;1;21;101;476;13;-;2021
"Semana 51";69;11;9;4;56;8;18;24;16;161;4;9;40;19;7;75;246;133;148;122;15;1;2;23;93;452;19;-;1784
"Semana 52";95;20;13;1;22;5;38;50;18;105;6;10;51;31;4;202;217;227;118;126;11;-;1;16;115;450;21;-;1973
"Total";5119;1370;1752;196;6798;1803;6384;13008;3599;40728;9874;14784;38578;12747;1949;31048;434100;37586;39853;182896;57950;4472;2485;32780;18192;81127;16449;13;1097640
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
