DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2017
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";83;36;43;3;96;10;57;37;16;239;8;10;67;22;7;146;383;216;167;106;16;1;3;30;244;705;30;2781
"Semana 02";109;53;54;4;155;12;56;71;13;259;15;20;97;42;10;197;508;198;189;137;26;2;4;38;174;690;38;3171
"Semana 03";126;69;75;4;200;41;101;73;26;397;30;35;78;39;3;179;596;233;243;155;26;2;-;35;229;885;44;3924
"Semana 04";130;74;90;3;372;42;104;99;41;425;24;29;122;29;22;234;672;282;281;141;20;-;1;43;255;1167;48;4750
"Semana 05";131;69;81;-;859;58;115;155;45;568;18;37;71;40;11;267;706;230;290;161;18;1;-;69;265;1259;55;5579
"Semana 06";82;51;144;-;285;50;152;194;35;597;19;43;84;35;6;192;821;96;275;162;21;-;1;54;365;1187;65;5016
"Semana 07";111;75;127;2;276;49;158;291;42;768;42;40;129;37;5;167;1028;185;294;203;25;-;-;54;330;1288;47;5773
"Semana 08";134;45;62;4;306;43;160;320;66;695;73;61;89;33;8;122;912;170;235;190;26;1;-;48;389;1276;45;5513
"Semana 09";67;34;29;2;110;31;171;297;54;684;78;39;54;22;2;94;659;141;127;165;15;-;-;32;295;924;33;4159
"Semana 10";95;59;70;2;224;69;139;366;93;909;99;79;106;58;5;132;1042;341;307;175;25;-;1;34;363;1323;65;6181
"Semana 11";96;41;49;2;320;51;155;272;121;980;89;69;147;37;8;143;1053;287;202;200;23;3;-;29;357;1589;91;6414
"Semana 12";68;42;46;7;216;27;192;291;112;1020;73;75;141;48;4;117;906;225;228;179;13;3;-;49;424;1747;111;6364
"Semana 13";68;38;64;8;149;26;189;225;115;1452;41;80;165;67;6;120;949;208;191;164;22;-;1;52;438;1578;139;6555
"Semana 14";36;44;59;7;156;21;168;194;154;1591;38;49;98;46;9;117;873;196;235;171;16;-;-;59;375;1688;110;6510
"Semana 15";26;38;33;3;84;12;172;169;136;1641;28;66;84;38;7;88;582;144;124;139;11;1;-;45;299;1353;105;5428
"Semana 16";41;31;33;3;78;29;204;233;162;1823;26;53;80;74;11;110;706;135;253;180;12;-;-;38;261;1545;121;6242
"Semana 17";27;14;21;4;83;15;184;185;199;1867;30;57;140;118;7;72;733;170;225;179;12;1;1;37;265;1977;157;6780
"Semana 18";19;16;10;8;81;19;119;215;207;1334;39;33;176;69;8;88;671;138;264;132;9;-;1;23;168;1856;131;5834
"Semana 19";23;23;16;10;80;22;176;194;167;1317;39;53;185;122;9;84;600;143;137;115;15;-;-;24;185;1896;151;5786
"Semana 20";13;16;27;4;83;28;168;176;264;1014;35;29;211;153;10;74;561;134;154;96;9;-;-;22;227;1905;178;5591
"Semana 21";9;16;19;9;52;22;150;155;344;812;33;27;188;74;5;76;452;110;164;99;13;-;-;29;216;1755;165;4994
"Semana 22";11;21;16;5;30;25;108;119;208;752;29;52;162;133;5;65;470;114;106;89;6;1;1;21;159;1787;213;4708
"Semana 23";12;22;16;6;30;16;76;122;179;635;29;53;276;110;8;43;370;91;156;85;11;1;-;11;148;1538;172;4216
"Semana 24";11;9;9;14;22;5;57;89;134;432;42;61;190;141;11;58;244;102;73;38;4;-;-;16;104;1154;123;3143
"Semana 25";15;7;19;5;34;20;50;86;215;406;46;38;220;122;4;48;270;103;58;57;13;-;1;19;114;1081;147;3198
"Semana 26";11;10;13;3;37;7;38;59;147;353;36;48;163;70;10;38;314;81;66;67;6;1;-;25;131;1001;102;2837
"Semana 27";5;6;12;10;24;9;40;61;133;349;27;61;116;92;3;40;148;61;88;50;12;1;-;12;78;702;64;2204
"Semana 28";8;7;7;5;16;9;18;55;133;289;22;65;143;66;5;39;115;41;84;63;13;1;-;16;79;507;33;1839
"Semana 29";9;12;14;7;16;9;27;56;73;163;28;44;117;62;6;22;94;63;79;48;6;-;-;8;44;496;35;1538
"Semana 30";7;8;22;6;15;5;24;59;51;211;29;46;117;73;3;22;114;68;41;44;6;-;3;8;70;355;23;1430
"Semana 31";3;23;14;7;54;5;32;40;43;152;25;69;118;44;4;17;111;81;50;56;5;-;1;24;60;372;21;1431
"Semana 32";11;8;32;6;22;5;24;52;44;134;42;65;112;53;2;25;78;57;61;48;20;1;-;14;62;265;17;1260
"Semana 33";13;8;16;4;31;2;13;30;52;105;54;75;98;42;6;27;87;58;36;54;8;-;-;14;73;252;23;1181
"Semana 34";10;6;23;3;28;4;15;41;44;76;64;58;101;21;4;48;79;41;26;62;11;-;-;16;69;305;24;1179
"Semana 35";13;9;19;2;57;2;18;45;44;59;42;64;115;70;4;26;76;51;82;72;20;-;-;15;54;304;21;1284
"Semana 36";7;7;7;2;15;3;9;21;53;57;43;30;73;37;2;24;65;33;19;63;20;-;-;14;36;212;18;870
"Semana 37";13;11;21;4;25;-;11;57;40;88;47;44;89;49;7;11;87;48;39;116;20;1;-;14;34;263;12;1151
"Semana 38";9;4;17;2;24;5;14;29;21;66;57;42;61;13;5;26;86;39;50;113;23;2;-;25;45;252;25;1055
"Semana 39";8;8;14;1;14;9;7;21;15;68;42;30;92;35;6;35;89;39;55;161;40;-;-;20;46;273;17;1145
"Semana 40";15;9;27;2;19;5;14;22;23;48;32;50;75;35;3;23;96;42;67;122;29;1;-;21;29;290;11;1110
"Semana 41";3;16;13;2;7;4;16;16;15;73;39;46;52;42;5;14;82;35;52;129;10;1;1;16;28;225;14;956
"Semana 42";5;25;21;1;20;14;15;17;13;55;36;29;51;27;4;16;100;29;73;179;36;-;-;33;64;378;27;1268
"Semana 43";10;23;14;1;22;27;20;25;9;45;32;38;58;32;4;27;102;39;76;144;19;-;-;29;63;378;12;1249
"Semana 44";4;28;6;-;17;3;19;27;16;41;27;53;56;29;2;14;76;35;45;135;18;-;-;41;46;231;9;978
"Semana 45";8;29;22;1;15;3;6;19;14;76;39;40;34;26;2;8;101;66;58;155;15;2;1;50;64;343;17;1214
"Semana 46";11;33;23;1;27;20;14;42;6;58;25;52;45;35;1;22;73;31;78;151;23;-;1;49;72;355;17;1265
"Semana 47";15;54;18;-;11;2;18;27;13;74;32;47;44;23;6;29;102;41;59;158;27;1;-;56;85;372;19;1333
"Semana 48";13;60;24;1;17;5;19;18;7;33;29;30;56;40;10;21;108;53;73;117;15;-;1;63;89;306;13;1221
"Semana 49";21;69;15;3;19;7;17;21;18;24;22;18;56;24;2;25;112;54;56;145;33;-;-;60;95;392;14;1322
"Semana 50";13;76;16;1;24;10;18;25;36;31;20;22;66;41;3;17;159;63;92;155;22;-;-;48;93;348;20;1419
"Semana 51";19;66;16;1;17;6;20;33;27;31;16;42;50;13;3;11;222;68;76;149;26;-;-;36;133;320;15;1416
"Semana 52";11;66;21;-;21;1;17;37;20;19;26;28;41;7;2;12;150;66;83;115;14;1;1;19;152;271;13;1214
"Total";1818;1624;1679;195;4995;924;3884;5583;4258;25395;1956;2424;5559;2810;305;3672;19793;5775;6642;6389;904;30;24;1657;8543;44921;3220;164979
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
