 Morbidade Hospitalar do SUS - por local de residência - Acre
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;4
"2008";3;9;19;14;11;16;21;11;15;8;5;6;6;2;3;1;1;2;153
"2009";8;16;62;46;50;62;77;60;41;55;42;35;35;18;19;15;7;10;658
"2010";12;13;24;47;76;82;90;79;68;57;49;37;25;25;31;22;10;27;774
"2011";14;6;33;40;44;54;44;38;27;25;18;23;29;14;9;16;14;12;460
"2012";3;6;14;19;20;19;22;21;12;15;11;13;9;11;13;5;2;5;220
"2013";7;8;12;26;28;18;29;32;16;12;12;6;4;10;2;11;5;3;241
"2014";5;24;27;51;78;36;58;69;58;47;48;28;30;20;22;23;19;24;667
"2015";3;7;15;28;44;34;35;27;30;20;32;17;10;14;10;6;6;8;346
"2016";5;9;7;9;14;4;6;10;8;7;6;7;1;4;4;3;1;1;106
"2017";1;5;8;10;9;4;6;9;9;8;3;2;1;4;-;-;-;2;81
"2018";5;6;6;17;15;28;28;22;19;15;9;7;10;7;4;7;3;7;215
"2019";3;10;17;16;22;34;24;30;41;22;30;19;11;14;15;14;6;6;334
"2020";6;13;9;27;40;26;34;40;31;29;22;26;15;22;10;7;9;12;378
"2021";7;13;8;21;37;45;40;33;36;36;27;22;23;27;9;16;6;10;416
"2022";3;7;15;11;12;18;20;27;20;22;19;14;12;12;10;1;8;5;236
"Total";85;152;276;382;500;480;534;509;433;378;333;262;222;204;161;147;97;134;5289
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
