year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,3,9,19,14,11,16,21,11,15,8,5,6,6,2,3,1,1,2
2009,8,16,62,46,50,62,77,60,41,55,42,35,35,18,19,15,7,10
2010,12,13,24,47,76,82,90,79,68,57,49,37,25,25,31,22,10,27
2011,14,6,33,40,44,54,44,38,27,25,18,23,29,14,9,16,14,12
2012,3,6,14,19,20,19,22,21,12,15,11,13,9,11,13,5,2,5
2013,7,8,12,26,28,18,29,32,16,12,12,6,4,10,2,11,5,3
2014,5,24,27,51,78,36,58,69,58,47,48,28,30,20,22,23,19,24
2015,3,7,15,28,44,34,35,27,30,20,32,17,10,14,10,6,6,8
2016,5,9,7,9,14,4,6,10,8,7,6,7,1,4,4,3,1,1
2017,1,5,8,10,9,4,6,9,9,8,3,2,1,4,0,0,0,2
2018,5,6,6,17,15,28,28,22,19,15,9,7,10,7,4,7,3,7
2019,3,10,17,16,22,34,24,30,41,22,30,19,11,14,15,14,6,6
2020,6,13,9,27,40,26,34,40,31,29,22,26,15,22,10,7,9,12
