 Morbidade Hospitalar do SUS - por local de residência - Acre
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2000";-;-;2;-;2;1;-;1;2;1;-;-;-;-;-;-;-;-;9
"2001";2;1;4;10;20;23;21;23;16;17;15;10;6;7;6;8;-;3;192
"2002";-;-;2;2;3;4;7;3;4;2;2;1;1;1;-;-;-;-;32
"2003";-;-;2;4;8;9;6;7;4;4;7;5;1;3;1;2;-;2;65
"2004";-;7;9;12;8;17;13;14;14;17;8;7;4;1;5;1;-;2;139
"2005";-;5;6;7;11;19;11;5;12;8;5;5;4;2;2;-;3;2;107
"2006";-;1;9;8;5;11;8;6;6;1;1;-;-;-;2;2;-;1;61
"2007";1;4;4;10;3;7;5;3;3;3;1;2;1;2;1;-;-;-;50
"Total";3;18;38;53;60;91;71;62;61;53;39;30;17;16;17;13;3;10;655
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
