year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2000,0,0,2,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,AC
2001,2,1,4,10,20,23,21,23,16,17,15,10,6,7,6,8,0,3,AC
2002,0,0,2,2,3,4,7,3,4,2,2,1,1,1,0,0,0,0,AC
2003,0,0,2,4,8,9,6,7,4,4,7,5,1,3,1,2,0,2,AC
2004,0,7,9,12,8,17,13,14,14,17,8,7,4,1,5,1,0,2,AC
2005,0,5,6,7,11,19,11,5,12,8,5,5,4,2,2,0,3,2,AC
2006,0,1,9,8,5,11,8,6,6,1,1,0,0,0,2,2,0,1,AC
2007,1,4,4,10,3,7,5,3,3,3,1,2,1,2,1,0,0,0,AC
2008,3,9,19,14,11,16,21,11,15,8,5,6,6,2,3,1,1,2,AC
2009,8,16,62,46,50,62,77,60,41,55,42,35,35,18,19,15,7,10,AC
2010,12,13,24,47,76,82,90,79,68,57,49,37,25,25,31,22,10,27,AC
2011,14,6,33,40,44,54,44,38,27,25,18,23,29,14,9,16,14,12,AC
2012,3,6,14,19,20,19,22,21,12,15,11,13,9,11,13,5,2,5,AC
2013,7,8,12,26,28,18,29,32,16,12,12,6,4,10,2,11,5,3,AC
2014,5,24,27,51,78,36,58,69,58,47,48,28,30,20,22,23,19,24,AC
2015,3,7,15,28,44,34,35,27,30,20,32,17,10,14,10,6,6,8,AC
2016,5,9,7,9,14,4,6,10,8,7,6,7,1,4,4,3,1,1,AC
2017,1,5,8,10,9,4,6,9,9,8,3,2,1,4,0,0,0,2,AC
2018,5,6,6,17,15,28,28,22,19,15,9,7,10,7,4,7,3,7,AC
2019,3,10,17,16,22,34,24,30,41,22,30,19,11,14,15,14,6,6,AC
2020,6,13,9,27,40,26,34,40,31,29,22,26,15,22,10,7,9,12,AC
2000,0,0,1,2,5,3,6,3,1,1,0,0,0,1,0,0,0,0,AL
2001,0,2,3,4,5,11,3,4,1,0,7,3,8,2,2,1,1,3,AL
2002,2,18,36,44,60,61,62,52,47,38,37,28,29,16,12,12,5,13,AL
2003,6,7,45,50,97,95,75,86,74,39,46,31,37,24,14,22,10,16,AL
2004,2,8,21,31,70,71,46,55,38,36,23,10,20,14,9,12,7,12,AL
2005,2,1,3,20,29,44,32,28,28,17,13,15,15,7,5,5,3,4,AL
2006,0,5,14,9,21,22,19,14,12,10,5,7,11,6,5,1,3,0,AL
2007,4,42,85,64,92,69,64,62,42,47,24,15,13,8,11,4,6,4,AL
2008,30,126,243,177,142,124,119,91,61,60,54,40,34,30,26,20,12,16,AL
2009,9,22,28,55,53,39,35,27,26,11,11,12,11,9,10,7,8,10,AL
2010,70,222,409,381,351,269,252,183,158,140,116,86,92,70,54,28,18,17,AL
2011,17,64,89,110,127,99,77,85,53,43,29,26,18,12,19,10,10,14,AL
2012,21,69,111,122,140,141,145,105,112,54,57,45,35,36,28,29,11,19,AL
2013,13,39,56,55,67,48,53,52,39,29,25,17,13,14,14,7,6,6,AL
2014,18,34,54,77,75,55,74,54,52,36,44,34,21,19,13,6,6,8,AL
2015,69,107,108,101,107,96,88,82,75,55,54,53,48,57,49,47,30,53,AL
2016,57,78,79,58,35,36,32,38,28,23,25,37,31,37,35,35,41,48,AL
2017,25,29,20,15,7,11,8,9,10,2,1,3,5,4,4,6,1,8,AL
2018,8,22,16,14,23,12,18,5,7,7,3,6,6,5,6,1,1,5,AL
2019,99,124,262,172,125,100,74,65,53,57,46,48,41,30,32,20,21,22,AL
2020,17,22,33,23,22,16,9,17,16,10,13,4,3,5,6,5,3,2,AL
2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AP
2001,0,2,4,4,6,7,3,0,0,1,3,4,3,2,1,0,3,0,AP
2002,1,0,0,0,0,3,4,2,3,0,1,0,1,1,1,0,0,0,AP
2003,0,2,3,1,15,15,8,9,7,6,6,5,1,4,2,1,2,2,AP
2004,1,4,3,9,19,14,22,14,9,5,6,8,3,4,2,5,0,6,AP
2005,1,3,5,10,8,10,6,10,5,10,4,1,4,6,3,0,3,2,AP
2006,0,0,3,4,9,7,3,5,5,2,4,1,0,2,3,2,2,3,AP
2007,1,9,48,25,30,28,48,48,48,40,32,22,22,22,12,16,4,15,AP
2008,1,8,13,19,13,10,19,18,14,13,15,5,11,9,6,2,2,5,AP
2009,3,5,15,10,15,11,11,14,12,9,12,11,2,6,3,4,4,4,AP
2010,3,8,25,22,9,22,17,25,15,15,16,17,11,11,2,4,3,3,AP
2011,4,11,16,31,27,30,29,12,16,15,26,15,4,9,4,7,4,0,AP
2012,3,7,2,26,12,14,12,13,12,11,15,11,9,6,8,4,2,3,AP
