 Morbidade Hospitalar do SUS - por local de residência - Alagoas
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;7;11;2;5;4;2;-;3;-;-;2;-;2;-;-;-;-;38
"2008";30;126;243;177;142;124;119;91;61;60;54;40;34;30;26;20;12;16;1405
"2009";9;22;28;55;53;39;35;27;26;11;11;12;11;9;10;7;8;10;383
"2010";70;222;409;381;351;269;252;183;158;140;116;86;92;70;54;28;18;17;2916
"2011";17;64;89;110;127;99;77;85;53;43;29;26;18;12;19;10;10;14;902
"2012";21;69;111;122;140;141;145;105;112;54;57;45;35;36;28;29;11;19;1280
"2013";13;39;56;55;67;48;53;52;39;29;25;17;13;14;14;7;6;6;553
"2014";18;34;54;77;75;55;74;54;52;36;44;34;21;19;13;6;6;8;680
"2015";69;107;108;101;107;96;88;82;75;55;54;53;48;57;49;47;30;53;1279
"2016";57;78;79;58;35;36;32;38;28;23;25;37;31;37;35;35;41;48;753
"2017";25;29;20;15;7;11;8;9;10;2;1;3;5;4;4;6;1;8;168
"2018";8;22;16;14;23;12;18;5;7;7;3;6;6;5;6;1;1;5;165
"2019";99;124;262;172;125;100;74;65;53;57;46;48;41;30;32;20;21;22;1391
"2020";17;22;33;23;22;16;9;17;16;10;13;4;3;5;6;5;3;2;226
"2021";8;21;47;40;29;27;18;20;17;17;24;5;12;12;11;3;3;2;316
"2022";13;16;51;63;34;26;25;17;25;28;18;17;15;6;6;13;7;9;389
"Total";474;1002;1617;1465;1342;1103;1029;850;735;572;520;435;385;348;313;237;178;239;12844
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
