year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,30,126,243,177,142,124,119,91,61,60,54,40,34,30,26,20,12,16
2009,9,22,28,55,53,39,35,27,26,11,11,12,11,9,10,7,8,10
2010,70,222,409,381,351,269,252,183,158,140,116,86,92,70,54,28,18,17
2011,17,64,89,110,127,99,77,85,53,43,29,26,18,12,19,10,10,14
2012,21,69,111,122,140,141,145,105,112,54,57,45,35,36,28,29,11,19
2013,13,39,56,55,67,48,53,52,39,29,25,17,13,14,14,7,6,6
2014,18,34,54,77,75,55,74,54,52,36,44,34,21,19,13,6,6,8
2015,69,107,108,101,107,96,88,82,75,55,54,53,48,57,49,47,30,53
2016,57,78,79,58,35,36,32,38,28,23,25,37,31,37,35,35,41,48
2017,25,29,20,15,7,11,8,9,10,2,1,3,5,4,4,6,1,8
2018,8,22,16,14,23,12,18,5,7,7,3,6,6,5,6,1,1,5
2019,99,124,262,172,125,100,74,65,53,57,46,48,41,30,32,20,21,22
2020,17,22,33,23,22,16,9,17,16,10,13,4,3,5,6,5,3,2
