 Morbidade Hospitalar do SUS - por local de residência - Alagoas
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;1;3;5;9;6;8;11;15;7;8;8;5;2;2;3;2;1;96
"1999";-;-;1;3;5;4;4;3;-;2;2;1;6;-;-;1;-;-;32
"2000";-;-;1;2;5;3;6;3;1;1;-;-;-;1;-;-;-;-;23
"2001";-;2;3;4;5;11;3;4;1;-;7;3;8;2;2;1;1;3;60
"2002";2;18;36;44;60;61;62;52;47;38;37;28;29;16;12;12;5;13;572
"2003";6;7;45;50;97;95;75;86;74;39;46;31;37;24;14;22;10;16;774
"2004";2;8;21;31;70;71;46;55;38;36;23;10;20;14;9;12;7;12;485
"2005";2;1;3;20;29;44;32;28;28;17;13;15;15;7;5;5;3;4;271
"2006";-;5;14;9;21;22;19;14;12;10;5;7;11;6;5;1;3;-;164
"2007";4;42;85;64;92;69;64;62;42;47;24;15;13;8;11;4;6;4;656
"Total";16;84;212;232;393;386;319;318;258;197;165;118;144;80;60;61;37;53;3133
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
