 Morbidade Hospitalar do SUS - por local de residência - Amapá
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;2;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;5
"2008";1;8;13;19;13;10;19;18;14;13;15;5;11;9;6;2;2;5;183
"2009";3;5;15;10;15;11;11;14;12;9;12;11;2;6;3;4;4;4;151
"2010";3;8;25;22;9;22;17;25;15;15;16;17;11;11;2;4;3;3;228
"2011";4;11;16;31;27;30;29;12;16;15;26;15;4;9;4;7;4;-;260
"2012";3;7;2;26;12;14;12;13;12;11;15;11;9;6;8;4;2;3;170
"2013";3;2;3;7;8;12;8;5;7;10;3;4;2;1;4;5;6;5;95
"2014";4;6;8;10;14;12;17;14;9;4;6;5;3;4;-;2;4;3;125
"2015";6;9;13;12;12;22;20;23;19;12;16;4;16;5;6;8;3;5;211
"2016";1;3;8;5;4;3;3;3;4;3;3;1;5;3;3;1;3;1;57
"2017";-;7;5;2;1;3;4;6;1;-;-;3;1;1;2;1;-;2;39
"2018";1;2;6;8;4;3;4;2;6;3;-;-;1;-;2;1;1;-;44
"2019";3;1;1;3;2;1;1;3;1;1;-;-;2;1;-;-;-;-;20
"2020";-;1;2;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;6
"2021";-;1;1;2;1;-;-;-;1;1;-;-;2;1;-;-;-;-;10
"2022";-;-;-;-;-;2;1;-;2;1;2;1;-;-;-;-;-;-;9
"Total";32;73;118;158;122;145;146;140;120;98;114;77;70;57;41;39;32;31;1613
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
