year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,1,8,13,19,13,10,19,18,14,13,15,5,11,9,6,2,2,5
2009,3,5,15,10,15,11,11,14,12,9,12,11,2,6,3,4,4,4
2010,3,8,25,22,9,22,17,25,15,15,16,17,11,11,2,4,3,3
2011,4,11,16,31,27,30,29,12,16,15,26,15,4,9,4,7,4,0
2012,3,7,2,26,12,14,12,13,12,11,15,11,9,6,8,4,2,3
2013,3,2,3,7,8,12,8,5,7,10,3,4,2,1,4,5,6,5
2014,4,6,8,10,14,12,17,14,9,4,6,5,3,4,0,2,4,3
2015,6,9,13,12,12,22,20,23,19,12,16,4,16,5,6,8,3,5
2016,1,3,8,5,4,3,3,3,4,3,3,1,5,3,3,1,3,1
2017,0,7,5,2,1,3,4,6,1,0,0,3,1,1,2,1,0,2
2018,1,2,6,8,4,3,4,2,6,3,0,0,1,0,2,1,1,0
2019,3,1,1,3,2,1,1,3,1,1,0,0,2,1,0,0,0,0
2020,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
