 Morbidade Hospitalar do SUS - por local de residência - Amapá
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
"1999";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"2000";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"2001";-;2;4;4;6;7;3;-;-;1;3;4;3;2;1;-;3;-;43
"2002";1;-;-;-;-;3;4;2;3;-;1;-;1;1;1;-;-;-;17
"2003";-;2;3;1;15;15;8;9;7;6;6;5;1;4;2;1;2;2;89
"2004";1;4;3;9;19;14;22;14;9;5;6;8;3;4;2;5;-;6;134
"2005";1;3;5;10;8;10;6;10;5;10;4;1;4;6;3;-;3;2;91
"2006";-;-;3;4;9;7;3;5;5;2;4;1;-;2;3;2;2;3;55
"2007";1;9;48;25;30;28;48;48;48;40;32;22;22;22;12;16;4;15;470
"Total";4;20;66;53;87;85;95;89;78;65;56;41;34;41;24;24;14;28;904
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
