 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";5;8;10;12;6;3;3;4;5;-;2;2;-;-;1;-;1;-;62
"2008";32;106;269;292;46;48;60;43;36;29;25;19;11;11;5;1;4;7;1044
"2009";10;30;70;54;15;16;6;13;7;15;7;2;8;1;3;1;2;1;261
"2010";37;63;194;205;59;32;38;30;26;17;18;17;10;12;8;5;3;3;777
"2011";56;127;385;577;174;123;105;105;76;72;69;61;59;37;22;12;8;14;2082
"2012";11;39;41;71;23;8;10;6;8;6;6;4;5;-;1;2;-;2;243
"2013";26;42;48;154;49;33;36;30;21;10;13;11;15;6;7;1;3;2;507
"2014";9;10;20;34;18;20;18;11;10;17;10;6;7;6;5;2;5;3;211
"2015";7;31;25;51;29;31;20;21;20;12;20;12;10;10;9;7;6;3;324
"2016";6;23;29;44;38;19;15;17;12;10;12;11;5;12;4;1;2;12;272
"2017";4;9;7;22;10;13;5;6;3;13;7;3;7;3;1;1;2;2;118
"2018";6;6;11;10;10;3;1;3;3;3;1;-;1;2;1;-;-;1;62
"2019";4;7;18;25;22;16;12;8;11;3;7;5;7;6;7;2;5;6;171
"2020";4;25;64;91;21;23;17;10;8;14;8;8;4;7;4;3;2;5;318
"2021";13;44;185;270;74;29;18;17;24;18;26;12;7;6;9;4;4;5;765
"2022";7;16;35;70;40;31;15;15;13;16;6;9;9;8;11;2;3;4;310
"Total";237;586;1411;1982;634;448;379;339;283;255;237;182;165;127;98;44;50;70;7527
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
