year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,32,106,269,292,46,48,60,43,36,29,25,19,11,11,5,1,4,7
2009,10,30,70,54,15,16,6,13,7,15,7,2,8,1,3,1,2,1
2010,37,63,194,205,59,32,38,30,26,17,18,17,10,12,8,5,3,3
2011,56,127,385,577,174,123,105,105,76,72,69,61,59,37,22,12,8,14
2012,11,39,41,71,23,8,10,6,8,6,6,4,5,0,1,2,0,2
2013,26,42,48,154,49,33,36,30,21,10,13,11,15,6,7,1,3,2
2014,9,10,20,34,18,20,18,11,10,17,10,6,7,6,5,2,5,3
2015,7,31,25,51,29,31,20,21,20,12,20,12,10,10,9,7,6,3
2016,6,23,29,44,38,19,15,17,12,10,12,11,5,12,4,1,2,12
2017,4,9,7,22,10,13,5,6,3,13,7,3,7,3,1,1,2,2
2018,6,6,11,10,10,3,1,3,3,3,1,0,1,2,1,0,0,1
2019,4,7,18,25,22,16,12,8,11,3,7,5,7,6,7,2,5,6
2020,4,25,64,91,21,23,17,10,8,14,8,8,4,7,4,3,2,5
