 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;2;-;1;-;2;1;2;2;-;-;-;-;-;-;-;-;10
"1999";-;-;-;1;4;4;3;2;4;2;1;1;1;2;1;-;-;1;27
"2000";-;-;1;2;1;1;4;-;3;2;1;1;1;-;-;-;-;-;17
"2001";3;8;11;9;14;15;11;10;11;2;7;3;4;5;2;2;-;2;119
"2002";1;5;-;1;5;6;2;4;1;-;1;1;-;-;-;1;-;-;28
"2003";8;38;54;42;20;23;26;13;13;10;8;9;2;6;-;1;-;-;273
"2004";4;16;28;23;9;10;3;3;5;5;2;3;1;2;-;-;-;1;115
"2005";2;22;46;27;2;14;7;5;7;6;4;1;-;1;1;1;2;1;149
"2006";2;5;15;18;-;9;3;3;-;-;-;2;-;2;1;-;-;-;60
"2007";28;85;160;153;10;19;17;6;6;5;2;7;1;5;1;2;-;-;507
"Total";48;179;317;276;66;101;78;47;52;34;26;28;10;23;6;7;2;5;1305
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
