 Morbidade Hospitalar do SUS - por local de residência - Bahia
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;1;3;6;15;13;15;11;12;8;14;7;9;8;2;6;3;3;136
"2008";88;393;830;740;842;888;780;558;535;404;379;338;234;189;158;124;105;111;7696
"2009";281;1047;2455;2023;1668;1657;1459;1179;995;920;795;664;541;431;336;273;171;259;17154
"2010";164;593;1239;1418;1262;1164;1014;836;704;640;534;505;379;324;255;200;119;158;11508
"2011";135;466;767;1008;1086;930;886;765;581;551;471;375;314;292;227;165;129;157;9305
"2012";135;517;821;1261;1247;1093;971;923;727;627;549;444;328;294;208;155;114;151;10565
"2013";90;395;605;858;1133;942;931;826;682;564;532;417;371;282;247;208;134;197;9414
"2014";42;184;222;268;383;309;314;263;240;204;216;151;132;85;60;77;37;52;3239
"2015";114;427;507;677;793;606;602;625;622;501;485;475;380;331;282;242;207;307;8183
"2016";124;510;580;716;809;640;552;557;552;532;520;529;455;348;364;345;310;432;8875
"2017";35;125;151;183;185;158;100;134;126;87;81;85;72;64;70;71;39;68;1834
"2018";25;110;83;94;80;80;66;76;73;57;52;65;52;37;33;31;39;38;1091
"2019";82;262;534;506;439;354;266;246;254;214;193;161;131;106;98;65;61;74;4046
"2020";78;237;371;346;308;256;188;172;153;132;109;99;99;93;74;67;48;82;2912
"2021";22;54;68;52;69;49;51;49;46;49;34;37;20;24;25;27;10;21;707
"2022";28;77;129;136;110;76;63;49;61;31;47;37;29;42;30;23;22;34;1024
"Total";1443;5398;9365;10292;10429;9215;8258;7269;6363;5521;5011;4389;3546;2950;2469;2079;1548;2144;97689
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
