year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,88,393,830,740,842,888,780,558,535,404,379,338,234,189,158,124,105,111
2009,281,1047,2455,2023,1668,1657,1459,1179,995,920,795,664,541,431,336,273,171,259
2010,164,593,1239,1418,1262,1164,1014,836,704,640,534,505,379,324,255,200,119,158
2011,135,466,767,1008,1086,930,886,765,581,551,471,375,314,292,227,165,129,157
2012,135,517,821,1261,1247,1093,971,923,727,627,549,444,328,294,208,155,114,151
2013,90,395,605,858,1133,942,931,826,682,564,532,417,371,282,247,208,134,197
2014,42,184,222,268,383,309,314,263,240,204,216,151,132,85,60,77,37,52
2015,114,427,507,677,793,606,602,625,622,501,485,475,380,331,282,242,207,307
2016,124,510,580,716,809,640,552,557,552,532,520,529,455,348,364,345,310,432
2017,35,125,151,183,185,158,100,134,126,87,81,85,72,64,70,71,39,68
2018,25,110,83,94,80,80,66,76,73,57,52,65,52,37,33,31,39,38
2019,82,262,534,506,439,354,266,246,254,214,193,161,131,106,98,65,61,74
2020,78,237,371,346,308,256,188,172,153,132,109,99,99,93,74,67,48,82
