 Morbidade Hospitalar do SUS - por local de residência - Bahia
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"1998";6;20;52;125;167;156;157;122;117;104;90;77;73;53;41;38;29;34;-;1461
"1999";2;6;9;42;84;107;71;81;65;67;51;53;39;25;21;24;10;15;-;772
"2000";1;11;22;43;99;125;98;112;91;84;50;57;48;41;35;28;22;29;-;996
"2001";6;39;72;161;289;321;265;266;241;203;147;185;124;112;78;67;53;67;-;2696
"2002";45;221;360;683;1172;1198;969;837;739;630;527;462;383;307;235;187;139;195;-;9289
"2003";58;289;495;877;1668;1633;1428;1150;1064;929;855;712;626;516;457;333;265;294;-;13649
"2004";11;66;135;290;586;580;470;358;309;253;241;199;201;144;103;114;69;99;-;4228
"2005";12;83;168;306;585;594;541;427;389;299;282;259;193;181;121;115;95;90;-;4740
"2006";7;76;123;214;357;380;289;237;228;154;149;133;121;98;79;61;50;58;1;2815
"2007";10;69;142;262;446;474;413;309;261;223;194;170;138;115;100;64;60;84;-;3534
"Total";158;880;1578;3003;5453;5568;4701;3899;3504;2946;2586;2307;1946;1592;1270;1031;792;965;1;44180
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
