 Morbidade Hospitalar do SUS - por local de residência - Ceará
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";7;13;10;18;19;13;5;9;10;3;7;7;4;9;3;3;2;1;143
"2008";189;734;1533;1206;768;644;608;544;460;454;380;321;271;206;182;128;97;150;8875
"2009";51;148;217;251;242;200;181;138;129;105;81;82;63;58;53;47;24;42;2112
"2010";123;417;713;720;612;501;443;368;318;274;243;205;193;169;122;130;96;87;5734
"2011";189;614;1137;1221;960;702;635;566;484;432;400;317;275;230;211;195;123;183;8874
"2012";105;284;420;768;553;335;264;238;186;155;150;112;112;87;70;59;49;74;4021
"2013";69;224;300;453;436;279;245;248;187;145;153;130;120;91;89;84;78;102;3433
"2014";101;202;284;412;376;286;243;207;205;171;164;152;121;103;89;58;54;85;3313
"2015";170;435;638;892;697;494;456;424;345;313;297;268;237;218;176;144;132;161;6497
"2016";131;311;380;408;383;163;187;152;128;110;116;139;118;107;110;111;84;153;3291
"2017";97;186;222;256;204;81;98;73;63;66;68;58;56;52;58;39;51;92;1820
"2018";26;96;100;72;79;41;20;41;24;25;23;20;19;14;8;11;4;9;632
"2019";46;142;223;238;205;117;77;97;94;59;89;67;48;54;49;43;38;46;1732
"2020";80;122;286;320;194;109;62;65;50;63;73;52;38;31;35;23;16;24;1643
"2021";83;185;392;567;413;188;141;122;130;116;96;100;103;76;46;56;42;48;2904
"2022";51;105;183;190;137;93;88;75;61;47;50;56;50;40;47;54;38;57;1422
"Total";1518;4218;7038;7992;6278;4246;3753;3367;2874;2538;2390;2086;1828;1545;1348;1185;928;1314;56446
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
