year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,189,734,1533,1206,768,644,608,544,460,454,380,321,271,206,182,128,97,150
2009,51,148,217,251,242,200,181,138,129,105,81,82,63,58,53,47,24,42
2010,123,417,713,720,612,501,443,368,318,274,243,205,193,169,122,130,96,87
2011,189,614,1137,1221,960,702,635,566,484,432,400,317,275,230,211,195,123,183
2012,105,284,420,768,553,335,264,238,186,155,150,112,112,87,70,59,49,74
2013,69,224,300,453,436,279,245,248,187,145,153,130,120,91,89,84,78,102
2014,101,202,284,412,376,286,243,207,205,171,164,152,121,103,89,58,54,85
2015,170,435,638,892,697,494,456,424,345,313,297,268,237,218,176,144,132,161
2016,131,311,380,408,383,163,187,152,128,110,116,139,118,107,110,111,84,153
2017,97,186,222,256,204,81,98,73,63,66,68,58,56,52,58,39,51,92
2018,26,96,100,72,79,41,20,41,24,25,23,20,19,14,8,11,4,9
2019,46,142,223,238,205,117,77,97,94,59,89,67,48,54,49,43,38,46
2020,80,122,286,320,194,109,62,65,50,63,73,52,38,31,35,23,16,24
