 Morbidade Hospitalar do SUS - por local de residência - Ceará
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;3;5;4;1;4;4;5;2;4;-;2;3;-;1;1;2;2;43
"1999";-;6;17;12;6;6;5;5;3;6;3;3;2;1;-;1;2;-;78
"2000";-;6;9;10;9;7;5;6;7;8;7;7;7;5;3;2;-;-;98
"2001";7;23;48;96;122;136;125;132;114;72;104;83;73;80;52;44;40;37;1388
"2002";14;83;133;156;253;254;262;205;192;171;160;186;129;112;103;82;68;62;2625
"2003";35;200;372;512;632;596;502;444;405;318;311;298;232;226;169;157;137;136;5682
"2004";9;40;75;118;169;197;154;139;120;91;87;78;72;65;58;56;45;42;1615
"2005";35;242;424;531;643;611;468;448;387;330;256;267;218;188;181;126;115;106;5576
"2006";26;162;311;469;502;441;384;305;314;261;200;188;170;128;113;87;74;101;4236
"2007";75;325;688;630;653;614;536;478;393;365;299;250;223;202;170;121;116;141;6279
"Total";201;1090;2082;2538;2990;2866;2445;2167;1937;1626;1427;1362;1129;1007;850;677;599;627;27620
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
