 Morbidade Hospitalar do SUS - por local de residência - Distrito Federal
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;1;-;-;-;2;2;2;2;-;-;-;1;-;-;-;-;10
"2008";1;8;3;13;11;16;26;24;18;11;18;13;8;3;3;1;-;2;179
"2009";3;3;6;12;11;8;18;21;14;17;6;4;6;3;1;-;-;-;133
"2010";12;30;52;64;57;62;64;46;68;45;50;32;24;35;20;11;8;5;685
"2011";4;9;32;35;20;26;36;41;23;24;24;19;8;10;7;3;2;6;329
"2012";2;9;12;18;11;13;21;15;9;13;8;7;3;4;3;3;3;1;155
"2013";8;17;45;68;42;35;41;32;61;24;22;33;21;18;20;12;7;8;514
"2014";7;16;38;38;31;26;32;30;36;23;20;24;14;18;17;7;8;14;399
"2015";12;21;37;43;19;26;25;22;26;21;21;13;12;10;9;6;12;6;341
"2016";20;46;67;104;22;41;44;39;27;41;23;29;11;15;14;13;12;4;572
"2017";17;21;19;19;9;7;16;8;15;15;11;13;14;13;6;5;2;5;215
"2018";5;6;8;8;3;6;5;5;7;4;4;5;3;2;4;3;1;-;79
"2019";23;52;95;132;55;65;79;61;76;73;51;57;53;61;37;28;27;33;1058
"2020";29;65;113;117;38;41;30;41;43;45;34;34;31;31;36;27;9;25;789
"2021";14;44;81;79;15;14;23;21;14;25;19;14;9;6;4;10;4;15;411
"2022";31;108;218;187;26;56;54;38;47;37;40;40;38;33;42;32;23;40;1090
"Total";188;455;827;937;370;442;516;446;486;420;351;337;255;263;223;161;118;164;6959
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
