year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,1,8,3,13,11,16,26,24,18,11,18,13,8,3,3,1,0,2
2009,3,3,6,12,11,8,18,21,14,17,6,4,6,3,1,0,0,0
2010,12,30,52,64,57,62,64,46,68,45,50,32,24,35,20,11,8,5
2011,4,9,32,35,20,26,36,41,23,24,24,19,8,10,7,3,2,6
2012,2,9,12,18,11,13,21,15,9,13,8,7,3,4,3,3,3,1
2013,8,17,45,68,42,35,41,32,61,24,22,33,21,18,20,12,7,8
2014,7,16,38,38,31,26,32,30,36,23,20,24,14,18,17,7,8,14
2015,12,21,37,43,19,26,25,22,26,21,21,13,12,10,9,6,12,6
2016,20,46,67,104,22,41,44,39,27,41,23,29,11,15,14,13,12,4
2017,17,21,19,19,9,7,16,8,15,15,11,13,14,13,6,5,2,5
2018,5,6,8,8,3,6,5,5,7,4,4,5,3,2,4,3,1,0
2019,23,52,95,132,55,65,79,61,76,73,51,57,53,61,37,28,27,33
2020,29,65,113,117,38,41,30,41,43,45,34,34,31,31,36,27,9,25
