 Morbidade Hospitalar do SUS - por local de residência - Distrito Federal
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";1;1;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;6
"1999";1;-;2;-;-;-;-;2;1;2;-;-;-;-;-;-;-;8
"2000";-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;4
"2001";2;1;-;4;1;4;3;2;4;3;1;1;1;-;-;-;-;27
"2002";1;1;2;9;14;10;20;19;12;7;7;5;1;4;1;-;1;114
"2003";1;2;12;8;11;17;11;10;11;4;4;4;3;2;1;-;-;101
"2004";1;3;3;6;9;9;7;2;4;4;-;1;-;-;1;-;-;50
"2005";-;1;4;5;9;12;14;9;4;8;4;-;1;1;1;-;-;73
"2006";-;1;8;12;9;12;9;10;5;10;4;4;3;1;1;-;-;89
"2007";-;2;1;13;13;25;21;15;13;10;11;7;2;3;1;1;-;138
"Total";7;13;32;57;67;89;85;69;56;50;31;23;11;12;6;1;1;610
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
