 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;2;-;3;-;3;3;4;4;3;2;1;-;1;-;-;-;-;26
"2008";10;33;113;179;193;179;216;158;125;156;128;105;78;56;34;36;26;27;1852
"2009";35;109;329;440;304;255;261;237;196;201;214;208;172;123;102;73;79;64;3402
"2010";27;44;134;241;184;173;178;144;149;142;123;133;98;64;45;54;32;34;1999
"2011";46;73;206;384;410;275;305;240;237;235;251;208;171;131;99;66;53;62;3452
"2012";20;47;61;110;122;113;97;96;85;55;53;53;53;34;15;17;15;11;1057
"2013";24;49;108;193;216;151;145;128;116;97;102;69;74;47;35;38;27;22;1641
"2014";15;31;54;104;102;76;62;65;68;51;50;44;37;33;21;22;13;19;867
"2015";25;59;129;207;218;157;164;155;136;114;114;117;108;96;50;50;29;42;1970
"2016";33;75;122;184;173;149;137;113;144;119;133;124;128;82;54;54;47;67;1938
"2017";15;24;47;50;70;68;62;68;58;57;41;42;48;37;34;15;12;22;770
"2018";14;43;63;84;54;43;40;51;44;39;39;44;38;36;31;16;18;26;723
"2019";49;74;185;257;209;177;147;155;162;141;152;142;150;137;95;51;51;67;2401
"2020";22;36;49;55;62;47;39;52;67;45;59;45;50;53;43;33;23;36;816
"2021";7;14;16;15;11;12;11;10;6;8;8;9;11;6;5;9;3;7;168
"2022";3;11;13;22;25;16;14;14;14;8;12;8;7;9;12;13;6;14;221
"Total";345;724;1629;2528;2353;1894;1881;1690;1611;1471;1481;1352;1223;945;675;547;434;520;23303
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
