year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,10,33,113,179,193,179,216,158,125,156,128,105,78,56,34,36,26,27
2009,35,109,329,440,304,255,261,237,196,201,214,208,172,123,102,73,79,64
2010,27,44,134,241,184,173,178,144,149,142,123,133,98,64,45,54,32,34
2011,46,73,206,384,410,275,305,240,237,235,251,208,171,131,99,66,53,62
2012,20,47,61,110,122,113,97,96,85,55,53,53,53,34,15,17,15,11
2013,24,49,108,193,216,151,145,128,116,97,102,69,74,47,35,38,27,22
2014,15,31,54,104,102,76,62,65,68,51,50,44,37,33,21,22,13,19
2015,25,59,129,207,218,157,164,155,136,114,114,117,108,96,50,50,29,42
2016,33,75,122,184,173,149,137,113,144,119,133,124,128,82,54,54,47,67
2017,15,24,47,50,70,68,62,68,58,57,41,42,48,37,34,15,12,22
2018,14,43,63,84,54,43,40,51,44,39,39,44,38,36,31,16,18,26
2019,49,74,185,257,209,177,147,155,162,141,152,142,150,137,95,51,51,67
2020,22,36,49,55,62,47,39,52,67,45,59,45,50,53,43,33,23,36
