 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;2;8;7;11;6;3;2;5;2;3;1;-;2;1;-;-;53
"1999";-;-;1;1;-;-;1;-;1;2;-;-;-;-;-;-;-;-;6
"2000";2;1;1;1;7;8;6;7;3;5;5;6;-;1;1;-;2;1;57
"2001";-;1;4;1;7;10;10;4;7;4;6;3;2;3;-;1;-;1;64
"2002";-;3;11;34;45;58;59;45;37;40;19;21;19;14;9;7;6;4;431
"2003";2;13;25;48;83;125;95;84;83;88;66;52;37;24;30;27;12;12;906
"2004";1;3;10;18;33;43;26;27;28;22;26;15;10;4;9;6;2;2;285
"2005";1;2;13;33;33;26;26;30;24;18;20;10;11;8;2;10;3;1;271
"2006";3;5;15;52;70;80;70;62;41;47;39;29;27;14;13;9;7;2;585
"2007";3;12;18;51;122;117;92;79;79;67;54;35;24;21;11;17;8;3;813
"Total";12;40;100;247;407;478;391;341;305;298;237;174;131;89;77;78;40;26;3471
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
