 Morbidade Hospitalar do SUS - por local de residência - Bahia
Internações por Ano atendimento e Faixa Etária 2
Município: 291080 FEIRA DE SANTANA
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Mai/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2008";2;10;22;18;4;9;7;9;14;2;5;5;2;3;-;-;-;-;112
"2009";15;40;68;60;12;12;17;17;9;14;12;9;6;3;2;1;1;3;301
"2010";11;18;35;26;6;3;8;7;7;11;9;6;5;3;1;1;2;1;160
"2011";1;15;19;15;5;8;5;3;4;3;-;4;3;3;1;1;2;2;94
"2012";3;13;23;28;5;6;9;4;6;-;2;2;2;1;1;2;-;1;108
"2013";-;8;12;11;5;7;6;2;7;3;3;3;2;-;3;2;2;1;77
"2014";2;5;2;4;1;-;-;-;-;1;2;-;-;1;-;-;-;-;18
"2015";1;3;5;3;2;1;4;1;4;1;2;1;2;-;1;-;-;1;32
"2016";3;1;-;3;-;2;-;1;-;-;-;-;1;1;-;-;-;-;12
"2017";-;-;1;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"2018";2;1;3;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"2019";11;34;78;58;30;24;13;14;13;11;7;8;7;4;4;2;4;2;324
"2020";6;8;12;11;4;3;3;1;2;1;2;-;-;-;-;-;-;-;53
"2021";-;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"2022";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"Total";57;158;281;242;76;75;73;59;68;47;45;39;30;19;13;9;11;11;1313
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
