year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,2,10,22,18,4,9,7,9,14,2,5,5,2,3,0,0,0,0
2009,15,40,68,60,12,12,17,17,9,14,12,9,6,3,2,1,1,3
2010,11,18,35,26,6,3,8,7,7,11,9,6,5,3,1,1,2,1
2011,1,15,19,15,5,8,5,3,4,3,0,4,3,3,1,1,2,2
2012,3,13,23,28,5,6,9,4,6,0,2,2,2,1,1,2,0,1
2013,0,8,12,11,5,7,6,2,7,3,3,3,2,0,3,2,2,1
2014,2,5,2,4,1,0,0,0,0,1,2,0,0,1,0,0,0,0
2015,1,3,5,3,2,1,4,1,4,1,2,1,2,0,1,0,0,1
2016,3,1,0,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0
2017,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2018,2,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,11,34,78,58,30,24,13,14,13,11,7,8,7,4,4,2,4,2
2020,6,8,12,11,4,3,3,1,2,1,2,0,0,0,0,0,0,0
