 Morbidade Hospitalar do SUS - por local de residência - Goiás
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";6;3;9;8;19;20;28;23;26;19;13;15;8;8;3;2;1;1;212
"2008";71;156;247;394;480;534;598;460;489;397;337;303;204;184;150;111;63;66;5244
"2009";45;89;143;264;300;311;340;300;285;245;242;207;159;135;105;89;57;54;3370
"2010";108;267;432;655;825;846;857;892;786;783;688;587;556;440;356;342;231;209;9860
"2011";49;115;162;202;271;272;284;289;264;244;227;181;149;125;83;82;43;66;3108
"2012";35;68;115;123;161;146;163;164;133;134;147;108;88;75;55;39;32;36;1822
"2013";95;201;348;426;602;553;602;574;583;540;514;480;411;326;280;249;188;176;7148
"2014";66;155;214;358;540;504;494;484;446;452;441;403;318;313;245;213;147;171;5964
"2015";114;185;334;545;862;759;760;765;724;760;685;678;590;515;414;336;286;293;9605
"2016";80;127;202;259;331;361;285;331;324;318;302;307;247;201;199;144;94;141;4253
"2017";34;81;130;172;202;240;217;247;285;305;254;294;259;181;161;136;102;97;3397
"2018";55;113;201;287;324;331;341;377;430;406;428;399;353;301;235;213;131;169;5094
"2019";69;125;291;334;368;423;407;472;486;512;479;501;431;409;331;286;210;223;6357
"2020";64;82;110;119;155;165;183;161;183;208;176;198;198;173;128;119;67;86;2575
"2021";44;88;115;122;107;122;132;137;131;123;135;136;133;129;116;81;74;107;2032
"2022";123;245;434;391;399;421;404;357;437;506;418;502;470;405;330;324;245;397;6808
"Total";1058;2100;3487;4659;5946;6008;6095;6033;6012;5952;5486;5299;4574;3920;3191;2766;1971;2292;76849
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
