year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,71,156,247,394,480,534,598,460,489,397,337,303,204,184,150,111,63,66
2009,45,89,143,264,300,311,340,300,285,245,242,207,159,135,105,89,57,54
2010,108,267,432,655,825,846,857,892,786,783,688,587,556,440,356,342,231,209
2011,49,115,162,202,271,272,284,289,264,244,227,181,149,125,83,82,43,66
2012,35,68,115,123,161,146,163,164,133,134,147,108,88,75,55,39,32,36
2013,95,201,348,426,602,553,602,574,583,540,514,480,411,326,280,249,188,176
2014,66,155,214,358,540,504,494,484,446,452,441,403,318,313,245,213,147,171
2015,114,185,334,545,862,759,760,765,724,760,685,678,590,515,414,336,286,293
2016,80,127,202,259,331,361,285,331,324,318,302,307,247,201,199,144,94,141
2017,34,81,130,172,202,240,217,247,285,305,254,294,259,181,161,136,102,97
2018,55,113,201,287,324,331,341,377,430,406,428,399,353,301,235,213,131,169
2019,69,125,291,334,368,423,407,472,486,512,479,501,431,409,331,286,210,223
2020,64,82,110,119,155,165,183,161,183,208,176,198,198,173,128,119,67,86
