 Morbidade Hospitalar do SUS - por local de residência - Goiás
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;1;2;1;1;2;1;-;1;1;-;-;-;1;-;-;-;-;11
"1999";-;-;-;2;1;2;1;1;5;-;2;1;-;-;-;-;1;-;16
"2000";-;2;3;5;5;6;6;3;3;1;1;3;1;2;-;-;-;-;41
"2001";2;5;10;15;13;22;19;20;21;11;12;8;4;3;2;2;-;1;170
"2002";5;39;62;79;100;138;117;89;88;48;56;41;31;24;18;8;7;5;955
"2003";2;6;19;44;48;80;46;49;41;43;34;22;15;6;5;2;2;1;465
"2004";2;17;21;29;36;47;47;49;29;28;20;17;6;4;3;5;1;1;362
"2005";6;28;52;87;154;168;157;135;122;96;86;60;35;22;26;17;11;12;1274
"2006";30;59;186;239;337;425;363;333;321;214;196;147;121;102;68;55;36;31;3263
"2007";21;52;138;190;277;342;315;276;228;211;177;128;98;70;53;42;29;27;2674
"Total";68;209;493;691;972;1232;1072;955;859;653;584;427;311;234;175;131;87;78;9231
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
