 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";8;19;30;12;15;16;15;17;8;9;5;8;7;2;4;5;-;2;182
"2008";75;209;427;321;353;291;255;205;163;147;111;121;108;74;67;45;41;35;3048
"2009";23;109;168;264;322;226;226;152;129;118;125;88;80;68;44;39;24;26;2231
"2010";82;239;490;393;413;396;318;260;228;153;146;130;121;101;88;68;45;46;3717
"2011";97;294;499;603;719;626;602;475;331;308;253;256;209;187;128;116;82;109;5894
"2012";57;154;232;356;570;472;430;348;251;210;208;186;150;137;90;85;62;65;4063
"2013";54;157;191;274;373;285;295;219;182;166;131;119;91;84;77;49;49;71;2867
"2014";36;128;168;238;377;289;303;215;174;145;158;120;102;74;64;53;34;53;2731
"2015";46;192;285;293;465;335;370;319;251;209;211;209;201;153;112;113;81;113;3958
"2016";77;256;386;430;508;407;407;419;343;262;279;252;251;196;193;146;134;181;5127
"2017";23;110;162;185;231;161;183;174;141;128;107;101;96;95;84;65;77;86;2209
"2018";8;19;24;36;66;58;56;53;33;33;30;30;31;18;8;14;14;15;546
"2019";23;108;246;288;257;167;134;138;125;81;86;80;64;47;49;35;38;49;2015
"2020";5;38;53;57;74;42;58;30;51;40;33;35;18;28;12;6;19;12;611
"2021";8;25;45;47;32;24;20;10;9;13;11;5;4;9;6;4;4;-;276
"2022";27;98;147;166;125;79;69;66;44;40;41;38;26;26;20;20;14;23;1069
"Total";649;2155;3553;3963;4900;3874;3741;3100;2463;2062;1935;1778;1559;1299;1046;863;718;886;40544
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
