year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,75,209,427,321,353,291,255,205,163,147,111,121,108,74,67,45,41,35
2009,23,109,168,264,322,226,226,152,129,118,125,88,80,68,44,39,24,26
2010,82,239,490,393,413,396,318,260,228,153,146,130,121,101,88,68,45,46
2011,97,294,499,603,719,626,602,475,331,308,253,256,209,187,128,116,82,109
2012,57,154,232,356,570,472,430,348,251,210,208,186,150,137,90,85,62,65
2013,54,157,191,274,373,285,295,219,182,166,131,119,91,84,77,49,49,71
2014,36,128,168,238,377,289,303,215,174,145,158,120,102,74,64,53,34,53
2015,46,192,285,293,465,335,370,319,251,209,211,209,201,153,112,113,81,113
2016,77,256,386,430,508,407,407,419,343,262,279,252,251,196,193,146,134,181
2017,23,110,162,185,231,161,183,174,141,128,107,101,96,95,84,65,77,86
2018,8,19,24,36,66,58,56,53,33,33,30,30,31,18,8,14,14,15
2019,23,108,246,288,257,167,134,138,125,81,86,80,64,47,49,35,38,49
2020,5,38,53,57,74,42,58,30,51,40,33,35,18,28,12,6,19,12
