 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";3;4;11;30;45;41;44;41;36;22;33;30;20;15;22;16;15;9;437
"1999";2;9;42;100;152;122;118;113;98;83;73;82;58;62;42;32;19;31;1238
"2000";2;12;38;100;158;157;123;108;121;89;78;70;54;35;30;18;19;27;1239
"2001";3;45;110;227;422;343;271;251;246;193;223;175;157;132;99;76;44;55;3072
"2002";6;63;142;298;564;494;366;338;310;275;291;229;217;145;102;91;59;56;4046
"2003";13;44;113;329;533;443;332;260;245;206;193;198;186;150;100;88;45;48;3526
"2004";4;22;40;125;258;242;166;173;111;110;106;89;78;72;44;44;24;23;1731
"2005";11;57;163;275;465;396;379;302;249;200;188;191;154;150;110;74;44;51;3459
"2006";9;74;175;248;397;332;251;184;177;168;153;113;104;85;54;44;30;32;2630
"2007";138;438;841;520;513;451;361;289;267;246;222;222;176;155;122;82;66;68;5177
"Total";191;768;1675;2252;3507;3021;2411;2059;1860;1592;1560;1399;1204;1001;725;565;365;400;26555
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
