 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso do Sul
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;-;-;-;2;2;-;-;1;1;2;-;-;-;-;-;-;8
"2008";3;7;13;25;24;27;21;22;25;26;8;10;7;2;3;-;2;1;226
"2009";8;24;50;82;97;74;87;82;69;74;57;63;45;43;27;24;15;17;938
"2010";40;96;180;287;335;343;341;320;345;345;274;267;212;186;161;143;109;98;4082
"2011";18;28;51;68;79;86;83;61;73;51;59;52;43;46;27;21;12;22;880
"2012";7;26;45;63;73;54;61;62;62;46;57;51;37;31;25;15;15;14;744
"2013";36;46;112;170;271;236;219;232;225;209;160;204;163;124;125;116;87;97;2832
"2014";7;9;20;22;54;37;29;27;26;30;28;23;20;17;10;7;8;7;381
"2015";41;40;128;197;217;218;185;184;160;183;152;168;164;168;109;94;68;70;2546
"2016";36;83;126;162;211;172;164;166;152;134;136;145;150;119;97;94;69;102;2318
"2017";7;11;20;22;37;25;25;23;27;20;16;17;11;14;7;9;5;7;303
"2018";3;5;21;29;35;31;27;25;24;25;28;28;19;24;20;13;9;16;382
"2019";41;63;162;243;247;217;235;222;241;232;260;284;247;187;156;124;99;122;3382
"2020";45;52;138;199;241;244;258;214;293;244;280;260;281;241;214;181;130;137;3652
"2021";19;17;37;38;43;45;64;52;45;67;57;47;53;48;40;37;17;41;767
"2022";19;42;59;45;56;68;41;74;68;69;55;53;59;63;58;46;33;39;947
"Total";330;549;1162;1652;2020;1879;1842;1766;1835;1756;1628;1674;1511;1313;1079;924;678;790;24388
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
