year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,3,7,13,25,24,27,21,22,25,26,8,10,7,2,3,0,2,1
2009,8,24,50,82,97,74,87,82,69,74,57,63,45,43,27,24,15,17
2010,40,96,180,287,335,343,341,320,345,345,274,267,212,186,161,143,109,98
2011,18,28,51,68,79,86,83,61,73,51,59,52,43,46,27,21,12,22
2012,7,26,45,63,73,54,61,62,62,46,57,51,37,31,25,15,15,14
2013,36,46,112,170,271,236,219,232,225,209,160,204,163,124,125,116,87,97
2014,7,9,20,22,54,37,29,27,26,30,28,23,20,17,10,7,8,7
2015,41,40,128,197,217,218,185,184,160,183,152,168,164,168,109,94,68,70
2016,36,83,126,162,211,172,164,166,152,134,136,145,150,119,97,94,69,102
2017,7,11,20,22,37,25,25,23,27,20,16,17,11,14,7,9,5,7
2018,3,5,21,29,35,31,27,25,24,25,28,28,19,24,20,13,9,16
2019,41,63,162,243,247,217,235,222,241,232,260,284,247,187,156,124,99,122
2020,45,52,138,199,241,244,258,214,293,244,280,260,281,241,214,181,130,137
