 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso do Sul
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;-;1;3;3;4;4;1;1;1;-;1;-;-;-;-;1;20
"1999";-;1;1;5;2;6;6;5;10;7;5;3;1;3;3;1;2;1;62
"2000";-;-;3;10;7;12;7;12;15;16;11;10;9;2;3;3;2;-;122
"2001";1;2;5;14;29;25;22;24;31;24;22;24;11;15;7;9;2;2;269
"2002";1;4;21;28;42;52;48;50;48;32;33;33;27;21;13;17;14;5;489
"2003";-;4;7;20;34;32;31;33;28;17;18;16;17;9;7;6;6;6;291
"2004";-;2;5;10;23;11;11;7;8;6;8;2;2;4;1;2;2;-;104
"2005";-;2;3;5;7;10;11;7;6;9;10;3;2;2;1;-;-;4;82
"2006";5;19;47;73;119;126;123;100;105;94;71;62;53;45;38;31;22;19;1152
"2007";9;72;186;288;403;419;325;334;299;316;230;200;173;155;114;110;76;98;3807
"Total";16;106;278;454;669;696;588;576;551;522;409;353;296;256;187;179;126;136;6398
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
