 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;1;9;4;3;6;7;2;1;1;4;5;2;-;-;1;-;-;46
"2008";6;38;66;57;80;81;78;69;49;70;39;39;21;19;15;9;11;8;755
"2009";131;336;893;786;434;380;390;350;345;308;279;206;183;156;124;92;59;34;5486
"2010";92;180;515;513;385;355;343;315;270;258;239;204;186;127;94;87;53;42;4258
"2011";22;45;64;84;96;98;100;84;69;69;69;50;39;37;36;24;14;13;1013
"2012";51;95;174;263;299;294;263;275;199;215;176;150;125;106;61;61;46;47;2900
"2013";43;109;112;140;166;161;136;149;124;128;128;133;77;61;57;38;25;44;1831
"2014";16;34;33;42;52;47;43;45;35;41;34;23;34;23;13;16;6;5;542
"2015";21;52;64;74;77;63;64;77;71;60;80;55;44;39;34;28;23;16;942
"2016";27;47;52;54;40;59;65;51;48;59;40;40;30;36;22;9;13;10;702
"2017";7;19;29;29;30;21;23;39;23;15;24;29;25;21;16;10;8;6;374
"2018";11;29;29;36;37;20;24;31;28;25;24;24;19;21;8;10;9;12;397
"2019";12;40;74;76;70;38;47;69;57;58;67;42;32;45;35;19;13;19;813
"2020";49;52;155;136;122;112;105;102;94;98;99;90;77;62;51;44;28;22;1498
"2021";37;46;91;85;69;61;51;55;50;37;49;42;35;28;35;19;18;22;830
"2022";47;102;182;145;116;100;89;77;80;78;79;48;48;59;39;36;35;37;1397
"Total";572;1225;2542;2524;2076;1896;1828;1790;1543;1520;1430;1180;977;840;640;503;361;337;23784
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
