year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,6,38,66,57,80,81,78,69,49,70,39,39,21,19,15,9,11,8
2009,131,336,893,786,434,380,390,350,345,308,279,206,183,156,124,92,59,34
2010,92,180,515,513,385,355,343,315,270,258,239,204,186,127,94,87,53,42
2011,22,45,64,84,96,98,100,84,69,69,69,50,39,37,36,24,14,13
2012,51,95,174,263,299,294,263,275,199,215,176,150,125,106,61,61,46,47
2013,43,109,112,140,166,161,136,149,124,128,128,133,77,61,57,38,25,44
2014,16,34,33,42,52,47,43,45,35,41,34,23,34,23,13,16,6,5
2015,21,52,64,74,77,63,64,77,71,60,80,55,44,39,34,28,23,16
2016,27,47,52,54,40,59,65,51,48,59,40,40,30,36,22,9,13,10
2017,7,19,29,29,30,21,23,39,23,15,24,29,25,21,16,10,8,6
2018,11,29,29,36,37,20,24,31,28,25,24,24,19,21,8,10,9,12
2019,12,40,74,76,70,38,47,69,57,58,67,42,32,45,35,19,13,19
2020,49,52,155,136,122,112,105,102,94,98,99,90,77,62,51,44,28,22
