 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";3;9;7;16;28;27;22;19;35;22;14;9;11;9;11;4;11;5;262
"1999";-;-;7;12;16;18;13;10;13;9;4;3;2;7;3;2;-;-;119
"2000";3;14;22;28;46;57;48;37;40;29;30;14;25;20;17;7;7;6;450
"2001";1;4;3;26;40;35;51;39;36;32;18;17;11;15;14;4;11;5;362
"2002";5;29;62;108;157;166;115;137;116;72;87;54;54;46;30;22;10;17;1287
"2003";6;40;83;110;191;198;163;152;122;110;75;67;51;62;55;41;22;21;1569
"2004";1;8;22;55;85;65;74;51;42;51;42;36;28;23;16;12;14;6;631
"2005";1;16;25;77;129;105;101;105;96;84;61;65;44;20;22;23;18;11;1003
"2006";3;16;47;74;80;87;99;84;89;86;48;37;41;27;22;13;6;10;869
"2007";1;20;52;49;101;118;90;95;84;65;60;47;38;22;34;18;11;14;919
"Total";24;156;330;555;873;876;776;729;673;560;439;349;305;251;224;146;110;95;7471
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
