 Morbidade Hospitalar do SUS - por local de residência - Minas Gerais
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";1;1;2;1;6;4;2;-;2;2;1;1;-;-;-;1;-;-;24
"2008";24;117;248;257;233;215;244;197;197;162;150;115;130;77;48;47;56;53;2570
"2009";40;99;304;319;233;206;224;189;189;201;204;168;146;115;97;80;63;53;2930
"2010";66;165;477;625;522;624;571;522;491;533;484;520;398;338;295;276;187;229;7323
"2011";19;85;183;214;223;198;224;177;160;165;160;141;106;78;61;66;47;62;2369
"2012";25;57;106;178;129;156;142;117;102;101;98;96;70;57;34;34;22;37;1561
"2013";113;219;398;581;649;639;604;578;481;488;450;427;388;350;273;263;183;244;7328
"2014";37;71;135;135;160;195;161;186;142;143;152;156;131;99;85;75;61;79;2203
"2015";72;135;282;412;538;512;455;436;437;424;432;421;391;287;263;202;195;191;6085
"2016";192;396;707;840;734;744;720;631;655;626;608;685;602;583;527;382;360;404;10396
"2017";29;60;96;125;141;107;112;121;115;118;121;106;121;81;65;70;49;67;1704
"2018";18;41;62;100;90;85;104;102;105;101;94;106;72;67;53;36;35;37;1308
"2019";195;324;682;714;535;665;705;672;773;721;737;747;781;667;573;443;328;376;10638
"2020";61;103;162;170;169;173;180;194;196;187;172;166;186;155;141;69;69;98;2651
"2021";25;44;42;42;28;20;41;26;34;20;32;18;27;29;24;15;14;28;509
"2022";34;72;160;148;123;119;140;127;143;136;133;123;135;149;120;125;104;129;2220
"Total";951;1989;4046;4861;4513;4662;4629;4275;4222;4128;4028;3996;3684;3132;2659;2184;1773;2087;61819
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
