year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,24,117,248,257,233,215,244,197,197,162,150,115,130,77,48,47,56,53
2009,40,99,304,319,233,206,224,189,189,201,204,168,146,115,97,80,63,53
2010,66,165,477,625,522,624,571,522,491,533,484,520,398,338,295,276,187,229
2011,19,85,183,214,223,198,224,177,160,165,160,141,106,78,61,66,47,62
2012,25,57,106,178,129,156,142,117,102,101,98,96,70,57,34,34,22,37
2013,113,219,398,581,649,639,604,578,481,488,450,427,388,350,273,263,183,244
2014,37,71,135,135,160,195,161,186,142,143,152,156,131,99,85,75,61,79
2015,72,135,282,412,538,512,455,436,437,424,432,421,391,287,263,202,195,191
2016,192,396,707,840,734,744,720,631,655,626,608,685,602,583,527,382,360,404
2017,29,60,96,125,141,107,112,121,115,118,121,106,121,81,65,70,49,67
2018,18,41,62,100,90,85,104,102,105,101,94,106,72,67,53,36,35,37
2019,195,324,682,714,535,665,705,672,773,721,737,747,781,667,573,443,328,376
2020,61,103,162,170,169,173,180,194,196,187,172,166,186,155,141,69,69,98
