 Morbidade Hospitalar do SUS - por local de residência - Minas Gerais
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";2;9;24;27;19;25;24;19;16;15;6;12;5;6;6;2;-;-;217
"1999";2;7;11;4;15;15;12;20;12;6;10;11;6;4;3;2;-;2;142
"2000";4;6;6;16;29;38;26;17;39;19;11;16;15;11;19;9;8;3;292
"2001";5;28;49;61;58;79;58;77;48;44;37;33;36;46;28;24;14;20;745
"2002";9;31;79;118;188;195;200;147;157;139;116;80;81;76;53;55;31;26;1781
"2003";7;18;51;88;137;168;158;123;119;88;88;83;70;56;40;33;30;23;1380
"2004";5;17;43;66;77;88;90;58;62;56;38;30;24;23;27;10;10;6;730
"2005";2;9;29;47;57;61;57;50;33;42;43;23;19;19;25;12;6;11;545
"2006";3;36;83;133;144;164;144;120;109;117;92;74;62;42;36;46;27;32;1464
"2007";6;29;80;139;144;179;142;141;103;106;92;89;69;49;32;38;24;22;1484
"Total";45;190;455;699;868;1012;911;772;698;632;533;451;387;332;269;231;150;145;8780
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
