 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Ano/mês processamento e Unidade da Federação
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:2008-2020
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2008";1197;117;1086;945;8603;173;1322;3177;1569;8967;4145;2659;2777;1426;2360;7499;2542;1821;17006;1016;276;17;19;226;787;5396;188;77316
"..Janeiro/2008";175;6;63;3;971;4;110;185;65;301;163;139;49;40;36;168;41;49;229;53;25;1;4;14;50;259;7;3210
"..Fevereiro/2008";280;8;235;9;1124;18;210;217;103;601;297;180;82;41;44;249;66;72;628;68;22;4;3;10;115;630;12;5328
"..Março/2008";213;8;217;25;1244;11;227;350;227;1087;452;267;123;66;107;459;178;140;2723;113;35;5;6;21;123;771;20;9218
"..Abril/2008";200;16;223;52;1402;26;253;635;427;1881;721;509;304;268;429;1550;552;363;4217;264;56;1;1;51;138;1313;34;15886
"..Maio/2008";114;17;123;78;1212;15;266;657;288;2040;764;499;645;401;496;1675;670;326;3288;182;51;1;2;39;84;1048;22;15003
"..Junho/2008";39;7;119;97;779;14;121;439;175;1444;743;366;611;239;564;1262;480;293;2245;128;27;2;-;49;89;590;37;10959
"..Julho/2008";50;15;49;133;535;12;61;271;104;758;384;269;435;117;362;718;250;231;1384;60;3;2;2;11;76;272;32;6596
"..Agosto/2008";23;13;19;140;273;12;21;139;60;345;334;184;283;85;201;405;91;115;1183;47;14;1;-;5;42;143;7;4185
"..Setembro/2008";23;6;9;124;222;23;16;101;47;179;118;96;116;89;58;237;48;89;650;29;12;-;-;8;14;114;5;2433
"..Outubro/2008";6;7;6;150;207;15;6;51;13;106;77;70;62;41;24;211;47;49;289;15;8;-;1;5;14;88;8;1576
"..Novembro/2008";33;7;6;67;269;14;9;65;25;123;56;47;36;22;14;209;54;51;85;32;9;-;-;5;14;88;1;1341
"..Dezembro/2008";41;7;17;67;365;9;22;67;35;102;36;33;31;17;25;356;65;43;85;25;14;-;-;8;28;80;3;1581
"2009";3667;646;271;809;4877;163;942;2240;2155;2118;600;688;583;366;279;17310;2907;3413;1157;892;156;12;7;719;4557;2829;119;54482
"..Janeiro/2009";139;37;23;74;416;4;60;102;69;117;40;39;36;22;24;624;161;92;144;52;12;3;-;11;23;140;2;2466
"..Fevereiro/2009";266;72;29;103;587;25;103;191;115;234;34;42;40;24;22;1774;237;233;161;65;20;1;3;10;57;176;6;4630
"..Março/2009";334;102;43;116;767;25;139;249;162;348;66;67;60;33;38;3221;519;344;180;111;27;1;1;55;191;332;11;7542
"..Abril/2009";400;146;37;65;756;29;96;305;267;257;15;78;66;21;30;3979;633;612;188;179;29;1;1;118;456;368;18;9150
"..Maio/2009";338;89;41;106;539;23;135;410;316;255;112;66;68;26;47;2781;554;683;144;178;20;1;1;141;766;289;23;8152
"..Junho/2009";202;58;22;46;532;18;124;386;385;251;93;79;57;33;24;1750;334;593;128;100;14;1;1;90;751;228;19;6319
"..Julho/2009";146;42;27;49;451;5;81;203;248;178;71;88;61;46;30;1138;151;395;71;45;7;-;-;49;390;187;9;4168
"..Agosto/2009";131;19;11;51;253;10;35;101;187;123;47;43;40;42;22;705;91;183;26;27;5;-;-;21;299;110;3;2585
"..Setembro/2009";113;-;13;81;145;9;20;78;135;57;40;51;53;40;11;329;28;126;21;18;6;1;-;10;153;92;4;1634
"..Outubro/2009";209;24;8;50;125;6;39;71;99;58;33;33;29;38;15;287;34;66;19;15;2;-;-;12;221;102;12;1607
"..Novembro/2009";472;17;8;38;133;6;30;65;99;96;20;49;36;21;12;302;64;38;36;30;4;-;-;70;343;228;1;2218
"..Dezembro/2009";917;40;9;30;173;3;80;79;73;144;29;53;37;20;4;420;101;48;39;72;10;3;-;132;907;577;11;4011
"2010";5190;768;645;1200;7067;212;1342;3494;3225;5311;1186;2379;5289;2888;224;11387;7323;1917;4720;6457;2086;35;188;4262;5114;10294;684;94887
"..Janeiro/2010";1394;83;11;32;295;3;145;118;172;145;18;51;59;46;9;551;303;87;142;147;18;2;6;283;1413;1322;37;6892
"..Fevereiro/2010";1407;122;11;56;326;9;175;156;234;282;31;75;80;86;6;795;713;83;240;589;126;8;9;598;1178;1824;73;9292
"..Março/2010";690;180;17;145;558;16;175;236;303;477;37;142;180;303;8;1425;1310;139;341;1358;281;6;84;724;953;1770;108;11966
"..Abril/2010";474;98;29;166;652;7;211;370;374;462;52;144;335;392;20;1628;1673;206;650;1799;499;6;59;1106;530;1596;135;13673
"..Maio/2010";230;56;55;160;688;12;217;335;542;450;96;204;594;523;23;1811;1523;265;834;1270;496;1;11;755;355;1428;115;13049
"..Junho/2010";129;77;55;200;582;17;131;331;456;531;125;367;865;472;15;1721;902;292;694;621;255;4;3;442;177;835;110;10409
"..Julho/2010";93;13;73;187;491;22;78;306;444;520;194;390;1008;418;21;1040;341;237;550;268;206;4;2;137;133;460;31;7667
"..Agosto/2010";70;17;75;87;529;44;41;307;229;466;120;302;872;209;18;690;154;147;471;104;76;-;4;63;51;202;24;5372
"..Setembro/2010";67;10;69;78;687;18;16;342;160;396;129;201;499;173;32;439;115;116;244;87;32;1;2;39;66;187;12;4217
"..Outubro/2010";88;27;75;37;618;18;14;328;130;388;126;172;338;122;20;342;74;118;180;55;27;1;1;29;49;180;16;3573
"..Novembro/2010";179;30;56;26;680;23;58;302;81;490;111;156;203;72;29;383;79;95;151;82;38;-;3;34;71;203;10;3645
"..Dezembro/2010";369;55;119;26;961;23;81;363;100;704;147;175;256;72;23;562;136;132;223;77;32;2;4;52;138;287;13;5132
"2011";2217;509;2210;240;8600;273;1101;5918;2710;9286;3087;2644;4366;875;657;9347;2364;3485;9833;3380;1817;26;69;902;1004;3182;333;80435
"..Janeiro/2011";380;113;183;34;1159;33;120;427;164;977;191;192;258;64;37;720;159;193;467;105;73;1;6;72;184;307;13;6632
"..Fevereiro/2011";340;128;399;22;1473;47;92;561;239;1147;304;306;344;48;30;833;213;303;873;271;182;2;17;102;139;409;37;8861
"..Março/2011";358;100;762;18;1409;32;123;675;300;1499;453;431;550;87;48;1213;325;462;1423;405;384;2;14;154;122;358;40;11747
"..Abril/2011";314;64;470;16;1215;46;115;751;437;1775;468;449;762;140;75;1550;401;583;2102;647;460;2;20;181;116;523;53;13735
"..Maio/2011";163;32;232;9;762;32;134;662;426;1320;442;380;655;121;64;1123;435;620;2008;859;322;8;6;152;81;435;66;11549
"..Junho/2011";103;12;62;21;588;16;133;590;362;935;349;348;513;80;62;1041;300;534;1149;447;154;2;1;98;57;283;27;8267
"..Julho/2011";70;14;30;20;400;21;89;546;233;541;246;244;377;43;70;795;139;305;794;187;45;1;1;32;36;149;41;5469
"..Agosto/2011";105;5;19;22;279;8;59;399;136;343;142;119;264;59;76;452;90;142;361;92;32;1;-;20;22;128;8;3383
"..Setembro/2011";76;7;16;31;281;13;37;295;134;208;70;48;162;49;62;380;85;85;185;56;17;2;-;21;39;80;9;2448
"..Outubro/2011";83;5;8;21;280;5;49;294;67;188;120;55;151;62;46;343;65;52;130;113;46;-;3;17;41;143;11;2398
"..Novembro/2011";84;7;14;14;293;10;85;310;90;158;150;43;137;58;40;389;69;83;147;97;42;4;-;26;64;202;11;2627
"..Dezembro/2011";141;22;15;12;461;10;65;408;122;195;152;29;193;64;47;508;83;123;194;101;60;1;1;27;103;165;17;3319
"2012";1538;214;240;315;5784;166;1077;4234;2344;4036;1666;1408;3026;1345;552;10607;1529;1074;3762;1183;352;18;21;608;2909;1801;148;51957
"..Janeiro/2012";175;23;19;12;565;8;104;484;128;215;132;58;261;119;65;738;133;157;180;86;52;2;2;45;169;212;12;4156
"..Fevereiro/2012";189;27;34;29;763;2;133;508;219;292;146;58;343;158;42;1031;156;113;253;88;68;-;3;47;265;182;10;5159
"..Março/2012";196;29;38;20;730;5;170;575;186;354;187;113;484;152;45;1483;220;124;482;159;42;1;2;39;433;204;14;6487
"..Abril/2012";192;22;20;32;683;13;172;589;313;665;237;179;564;191;108;1824;203;107;641;154;42;1;5;75;453;185;16;7686
"..Maio/2012";152;14;12;38;615;13;186;575;488;907;258;229;523;175;76;1667;208;109;679;173;34;4;1;97;411;213;19;7876
"..Junho/2012";102;12;8;50;528;9;102;463;365;635;198;238;321;143;70;1224;163;102;553;144;25;2;5;73;273;169;15;5992
"..Julho/2012";102;14;15;33;410;8;53;301;245;294;146;189;200;151;62;782;117;82;326;94;21;1;1;75;208;119;17;4066
"..Agosto/2012";64;5;19;30;271;16;35;192;169;209;113;110;129;98;28;553;72;68;149;58;9;-;-;39;148;78;16;2678
"..Setembro/2012";59;6;18;24;362;27;20;168;71;114;80;74;67;57;24;359;46;49;145;31;11;1;-;21;105;95;8;2042
"..Outubro/2012";48;20;12;20;301;29;23;119;48;112;49;45;31;34;17;259;26;38;70;45;10;1;-;19;104;70;6;1556
"..Novembro/2012";83;24;23;21;285;25;32;145;56;107;50;57;56;48;7;284;68;61;82;74;19;3;1;21;144;92;5;1873
"..Dezembro/2012";176;18;22;6;271;11;47;115;56;132;70;58;47;19;8;403;117;64;202;77;19;2;1;57;196;182;10;2386
"2013";3039;236;515;71;4110;99;1066;2869;1483;3423;1568;1831;806;527;144;9562;7389;1679;4257;4219;3321;35;55;2969;1900;7154;523;64850
"..Janeiro/2013";408;30;52;7;434;15;101;158;77;169;93;87;49;26;7;807;507;102;452;188;103;2;2;333;289;516;12;5026
"..Fevereiro/2013";574;56;97;8;637;8;187;280;151;184;129;122;63;38;5;1212;976;161;599;350;228;3;7;516;399;903;34;7927
"..Março/2013";506;28;83;3;774;14;160;289;202;224;184;155;55;37;17;1769;1544;286;1102;843;610;7;8;640;292;1343;48;11223
"..Abril/2013";445;45;78;4;669;13;152;370;218;315;200;170;92;56;11;1835;1866;349;911;1192;881;4;12;574;305;1288;111;12166
"..Maio/2013";263;18;63;8;501;11;138;341;185;403;195;201;114;76;16;1188;1273;251;547;860;729;1;12;397;175;1150;108;9224
"..Junho/2013";190;13;48;8;261;9;97;370;205;501;150;229;116;58;12;895;572;161;288;388;472;5;6;236;102;698;56;6146
"..Julho/2013";108;13;25;7;218;5;41;262;169;452;181;232;82;51;21;679;241;100;138;133;144;8;1;123;96;440;64;4034
"..Agosto/2013";100;13;20;7;145;4;23;239;101;416;118;211;77;33;22;374;95;83;53;81;59;2;3;54;51;233;45;2662
"..Setembro/2013";69;6;16;4;120;6;15;163;62;303;86;172;49;41;18;246;78;42;55;53;28;1;-;25;33;136;23;1850
"..Outubro/2013";82;3;12;4;126;6;27;143;35;221;68;112;35;33;2;206;73;52;37;57;14;-;-;27;37;87;9;1508
"..Novembro/2013";125;4;12;6;98;2;45;131;42;129;61;82;43;37;7;167;92;38;33;33;30;1;3;16;61;135;7;1440
"..Dezembro/2013";169;7;9;5;127;6;80;123;36;106;103;58;31;41;6;184;72;54;42;41;23;1;1;28;60;225;6;1644
"2014";1411;527;207;66;1980;128;792;2733;1398;3300;1210;1072;712;649;178;3225;2207;840;517;4344;1875;18;35;383;525;5954;400;36686
"..Janeiro/2014";164;21;14;3;138;5;144;161;66;143;108;66;46;68;7;241;120;75;71;94;93;2;2;30;54;478;12;2426
"..Fevereiro/2014";210;16;19;4;193;3;129;175;63;165;109;79;43;42;6;226;195;77;64;152;168;1;13;53;55;561;32;2853
"..Março/2014";175;28;36;5;267;6;137;240;57;169;143;69;49;28;10;268;286;85;53;376;260;1;9;39;69;752;31;3648
"..Abril/2014";197;33;35;4;243;11;113;344;120;300;217;122;63;53;10;388;408;65;44;1060;402;2;1;50;64;936;33;5318
"..Maio/2014";142;44;22;2;304;19;71;402;212;456;190;171;91;65;22;417;391;82;42;1127;410;6;3;59;79;994;83;5906
"..Junho/2014";96;11;12;7;180;17;51;377;242;485;152;146;103;71;24;378;303;64;28;593;220;1;1;29;47;730;70;4438
"..Julho/2014";73;26;16;5;148;26;47;261;229;476;121;119;76;96;16;310;172;104;40;386;124;1;1;22;28;470;74;3467
"..Agosto/2014";66;14;5;2;101;7;20;193;143;364;63;93;61;52;24;240;80;61;32;133;50;2;1;16;28;266;30;2147
"..Setembro/2014";50;25;10;7;98;10;13;165;86;225;29;64;44;45;22;193;48;64;41;101;40;-;-;12;16;187;21;1616
"..Outubro/2014";53;56;8;9;95;12;7;157;93;214;22;42;40;39;18;235;72;53;41;91;33;-;-;29;24;165;5;1613
"..Novembro/2014";83;178;18;13;100;7;29;114;47;161;25;44;54;47;4;159;67;61;36;89;37;2;1;21;34;171;6;1608
"..Dezembro/2014";102;75;12;5;113;5;31;144;40;142;31;57;42;43;15;170;65;49;25;142;38;-;3;23;27;244;3;1646
"2015";1306;500;306;123;2325;210;476;3957;1210;6524;544;916;1526;1200;215;8015;5857;1846;2603;14643;2799;120;189;2266;925;9612;322;70535
"..Janeiro/2015";108;112;18;3;109;7;23;202;50;173;24;31;44;57;7;218;160;73;64;509;43;4;2;58;48;591;5;2743
"..Fevereiro/2015";131;103;30;5;175;9;38;262;78;279;74;38;46;62;11;374;349;96;160;1350;155;13;4;119;60;973;9;5003
"..Março/2015";150;49;40;6;295;44;87;612;132;560;107;124;94;101;30;646;619;106;237;2867;360;22;33;183;87;1449;17;9057
"..Abril/2015";155;50;28;5;288;31;79;746;268;770;94;200;169;98;14;899;994;138;368;3753;703;23;69;357;110;1535;29;11973
"..Maio/2015";163;38;33;5;274;20;49;673;281;1138;81;161;153;110;18;1152;1352;152;387;3201;695;13;42;408;160;1950;86;12795
"..Junho/2015";138;42;29;5;204;35;55;435;139;1268;40;104;135;94;4;953;793;205;282;1498;388;18;14;302;128;1450;51;8809
