 Morbidade Hospitalar do SUS - por local de residência - Pará
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";18;26;57;62;78;93;96;57;70;66;48;43;37;32;20;19;2;6;830
"2008";97;343;632;727;854;973;837;704;620;532;440;389;270;212;163;142;80;78;8093
"2009";48;170;304;444;583;576;573;435;379;295;238;219;167;134;110;76;51;54;4856
"2010";88;248;435;652;912;945;863;738;609;479;393;357;263;230;163;125;68;59;7627
"2011";120;318;583;770;983;876;830;758;592;465;394;350;273;229;178;136;96;98;8049
"2012";77;185;257;430;674;623;656;570;466;391;316;278;224;156;132;104;70;75;5684
"2013";46;170;231;341;494;461;446;384;287;262;174;168;166;103;77;75;52;64;4001
"2014";26;97;127;161;215;211;207;162;148;130;91;94;79;47;38;46;27;29;1935
"2015";27;86;137;199;266;245;236;232;177;165;134;108;100;70;48;62;43;38;2373
"2016";58;171;204;226;324;289;258;270;239;215;173;144;133;108;94;71;62;68;3107
"2017";48;131;197;208;213;204;181;167;151;109;95;100;86;76;68;52;46;54;2186
"2018";20;54;69;72;92;93;75;69;61;55;48;46;26;28;16;15;11;10;860
"2019";29;74;96;100;113;105;94;89;73;68;60;51;54;36;29;16;10;18;1115
"2020";16;32;47;49;53;61;50;62;42;41;38;25;33;26;17;12;9;10;623
"2021";15;30;51;42;53;44;47;38;46;45;33;30;28;17;20;13;8;7;567
"2022";19;41;83;70;68;59;41;42;39;31;20;38;25;28;14;12;9;11;650
"Total";752;2176;3510;4553;5975;5858;5490;4777;3999;3349;2695;2440;1964;1532;1187;976;644;679;52556
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
