year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,97,343,632,727,854,973,837,704,620,532,440,389,270,212,163,142,80,78
2009,48,170,304,444,583,576,573,435,379,295,238,219,167,134,110,76,51,54
2010,88,248,435,652,912,945,863,738,609,479,393,357,263,230,163,125,68,59
2011,120,318,583,770,983,876,830,758,592,465,394,350,273,229,178,136,96,98
2012,77,185,257,430,674,623,656,570,466,391,316,278,224,156,132,104,70,75
2013,46,170,231,341,494,461,446,384,287,262,174,168,166,103,77,75,52,64
2014,26,97,127,161,215,211,207,162,148,130,91,94,79,47,38,46,27,29
2015,27,86,137,199,266,245,236,232,177,165,134,108,100,70,48,62,43,38
2016,58,171,204,226,324,289,258,270,239,215,173,144,133,108,94,71,62,68
2017,48,131,197,208,213,204,181,167,151,109,95,100,86,76,68,52,46,54
2018,20,54,69,72,92,93,75,69,61,55,48,46,26,28,16,15,11,10
2019,29,74,96,100,113,105,94,89,73,68,60,51,54,36,29,16,10,18
2020,16,32,47,49,53,61,50,62,42,41,38,25,33,26,17,12,9,10
