 Morbidade Hospitalar do SUS - por local de residência - Pará
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";4;15;29;50;77;84;85;71;61;55;37;42;28;22;19;11;7;13;710
"1999";3;9;23;49;96;87;99;69;81;69;53;34;27;27;18;15;5;8;772
"2000";11;73;162;284;523;516;448;395;326;241;244;190;164;121;90;71;47;55;3961
"2001";14;121;240;439;791;742;641;536;483;395;316;311;248;181;126;108;58;73;5823
"2002";32;162;315;540;862;918;802;669;599;461;433;363;304;214;207;124;100;75;7180
"2003";20;207;355;567;866;938;849;682;542;475;356;326;286;237;174;116;82;89;7167
"2004";29;151;298;392;640;755;642;487;441;356;285;254;197;190;131;117;72;71;5508
"2005";35;173;328;447;778;848;712;513;482;347;316;263;225;173;140;112;81;69;6042
"2006";22;172;298;466;666;722;643;486;396;307;278;260;157;164;116;96;57;65;5371
"2007";35;218;475;603;854;855;755;583;494;418;332;290;251;183;147;109;67;74;6743
"Total";205;1301;2523;3837;6153;6465;5676;4491;3905;3124;2650;2333;1887;1512;1168;879;576;592;49277
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
