 Morbidade Hospitalar do SUS - por local de residência - Paraíba
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";2;1;3;3;7;4;4;3;7;2;2;3;-;2;1;1;1;-;46
"2008";45;174;358;296;270;231;217;190;150;136;92;98;85;75;65;49;42;50;2623
"2009";10;34;42;83;83;77;69;44;48;29;40;32;36;21;21;10;7;19;705
"2010";48;150;350;419;251;184;171;148;110;139;114;79;63;66;51;42;18;38;2441
"2011";46;152;338;387;264;215;191;158;137;134;120;94;80;84;64;52;18;42;2576
"2012";24;89;150;230;134;116;124;96;75;69;63;49;42;39;41;24;19;26;1410
"2013";28;98;169;215;202;153;165;113;123;101;104;74;67;56;49;40;32;35;1824
"2014";29;53;84;112;140;93;105;76;68;53;47;40;33;33;34;27;13;25;1065
"2015";12;53;64;90;92;70;70;63;62;63;43;44;53;30;33;33;23;35;933
"2016";32;142;203;248;176;124;126;136;113;118;147;145;116;124;139;146;130;166;2531
"2017";10;25;62;70;48;22;20;12;12;18;10;14;10;8;12;8;5;10;376
"2018";69;173;310;316;268;75;52;45;47;43;44;28;35;31;17;19;7;22;1601
"2019";39;96;274;237;191;72;62;56;61;53;39;27;27;33;28;17;20;12;1344
"2020";10;37;58;58;51;10;14;12;10;9;6;3;9;5;5;5;5;5;312
"2021";18;41;99;69;40;21;28;28;23;14;18;19;10;15;8;10;10;10;481
"2022";54;72;168;182;87;44;39;35;38;48;31;27;25;16;24;16;21;32;959
"Total";476;1390;2732;3015;2304;1511;1457;1215;1084;1029;920;776;691;638;592;499;371;527;21227
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
