year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,45,174,358,296,270,231,217,190,150,136,92,98,85,75,65,49,42,50
2009,10,34,42,83,83,77,69,44,48,29,40,32,36,21,21,10,7,19
2010,48,150,350,419,251,184,171,148,110,139,114,79,63,66,51,42,18,38
2011,46,152,338,387,264,215,191,158,137,134,120,94,80,84,64,52,18,42
2012,24,89,150,230,134,116,124,96,75,69,63,49,42,39,41,24,19,26
2013,28,98,169,215,202,153,165,113,123,101,104,74,67,56,49,40,32,35
2014,29,53,84,112,140,93,105,76,68,53,47,40,33,33,34,27,13,25
2015,12,53,64,90,92,70,70,63,62,63,43,44,53,30,33,33,23,35
2016,32,142,203,248,176,124,126,136,113,118,147,145,116,124,139,146,130,166
2017,10,25,62,70,48,22,20,12,12,18,10,14,10,8,12,8,5,10
2018,69,173,310,316,268,75,52,45,47,43,44,28,35,31,17,19,7,22
2019,39,96,274,237,191,72,62,56,61,53,39,27,27,33,28,17,20,12
2020,10,37,58,58,51,10,14,12,10,9,6,3,9,5,5,5,5,5
