 Morbidade Hospitalar do SUS - por local de residência - Paraíba
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;3;16;24;40;29;34;25;27;23;28;22;18;15;11;12;5;10;342
"1999";-;-;7;11;27;24;29;27;26;14;15;17;16;9;9;7;7;5;250
"2000";1;1;23;31;85;69;76;54;49;40;47;45;37;28;19;16;15;13;649
"2001";-;20;43;100;179;161;157;130;138;112;116;114;82;97;58;50;47;39;1643
"2002";10;63;146;319;476;459;363;315;292;217;248;271;201;187;127;135;110;120;4059
"2003";7;41;76;187;353;308;298;226;231;174;171;178;148;132;108;89;85;79;2891
"2004";1;14;32;47;97;83;77;67;65;58;33;44;38;36;32;27;16;25;792
"2005";5;22;46;77;157;158;158;117;96;128;97;78;75;76;60;35;29;37;1451
"2006";6;21;36;53;122;109;83;81;60;59;52;33;36;33;17;14;15;22;852
"2007";24;97;198;203;218;210;185;155;133;125;114;92;98;71;61;40;35;35;2094
"Total";54;282;623;1052;1754;1610;1460;1197;1117;950;921;894;749;684;502;425;364;385;15023
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
