 Morbidade Hospitalar do SUS - por local de residência - Paraná
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";1;-;-;-;2;-;-;2;1;1;3;-;1;-;1;-;-;-;12
"2008";5;8;22;23;29;26;32;23;27;21;16;9;14;5;5;1;3;6;275
"2009";2;6;13;14;22;15;13;14;10;8;10;9;7;1;3;3;1;1;152
"2010";11;51;93;193;188;213;183;171;186;170;134;118;115;85;80;62;43;32;2128
"2011";24;68;150;194;163;168;158;139;108;136;113;101;74;73;51;41;27;37;1825
"2012";3;16;15;31;28;33;41;36;21;21;24;16;9;9;7;2;4;4;320
"2013";35;53;120;255;334;295;252;250;236;221;219;230;173;151;154;137;98;111;3324
"2014";23;37;86;150;193;156;144;138;125;129;132;121;106;81;90;66;40;51;1868
"2015";28;71;119;187;277;249;222;220;181;221;185;186;175;169;120;116;80;82;2888
"2016";41;87;132;154;223;203;203;183;185;178;170;162;150;159;115;85;85;89;2604
"2017";7;8;29;22;43;31;35;30;24;21;15;11;10;16;2;9;5;6;324
"2018";1;5;13;15;21;26;13;15;23;16;18;16;7;8;7;5;2;-;211
"2019";21;48;69;97;125;135;146;137;132;126;130;128;107;111;95;60;50;70;1787
"2020";85;136;249;367;391;548;539;467;473;510;509;537;524;507;504;398;360;428;7532
"2021";20;30;43;45;46;59;62;62;52;66;48;53;51;40;48;40;43;47;855
"2022";23;87;148;179;202;271;249;231;235;247;237;260;284;284;278;236;206;255;3912
"Total";330;711;1301;1926;2287;2428;2292;2118;2019;2092;1963;1957;1807;1699;1560;1261;1047;1219;30017
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
