year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,5,8,22,23,29,26,32,23,27,21,16,9,14,5,5,1,3,6
2009,2,6,13,14,22,15,13,14,10,8,10,9,7,1,3,3,1,1
2010,11,51,93,193,188,213,183,171,186,170,134,118,115,85,80,62,43,32
2011,24,68,150,194,163,168,158,139,108,136,113,101,74,73,51,41,27,37
2012,3,16,15,31,28,33,41,36,21,21,24,16,9,9,7,2,4,4
2013,35,53,120,255,334,295,252,250,236,221,219,230,173,151,154,137,98,111
2014,23,37,86,150,193,156,144,138,125,129,132,121,106,81,90,66,40,51
2015,28,71,119,187,277,249,222,220,181,221,185,186,175,169,120,116,80,82
2016,41,87,132,154,223,203,203,183,185,178,170,162,150,159,115,85,85,89
2017,7,8,29,22,43,31,35,30,24,21,15,11,10,16,2,9,5,6
2018,1,5,13,15,21,26,13,15,23,16,18,16,7,8,7,5,2,0
2019,21,48,69,97,125,135,146,137,132,126,130,128,107,111,95,60,50,70
2020,85,136,249,367,391,548,539,467,473,510,509,537,524,507,504,398,360,428
