 Morbidade Hospitalar do SUS - por local de residência - Paraná
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;2;2;1;4;1;-;-;2;2;1;1;-;-;1;-;-;-;17
"1999";-;-;-;2;-;-;-;1;1;-;1;1;-;-;-;-;-;-;6
"2000";-;-;1;2;3;2;6;3;2;1;-;-;1;-;-;1;-;-;22
"2001";-;1;-;1;4;1;4;3;5;4;1;-;-;-;-;-;-;-;24
"2002";1;4;15;29;32;29;35;27;34;29;24;20;12;7;7;1;1;1;308
"2003";1;6;25;36;58;54;39;50;45;25;27;31;31;17;9;6;2;6;468
"2004";-;3;4;6;6;6;5;5;2;4;2;2;1;-;1;-;-;-;47
"2005";-;-;5;9;7;12;17;10;7;4;2;1;2;4;3;1;-;-;84
"2006";-;1;12;10;23;14;18;22;10;12;14;4;4;4;3;3;2;4;160
"2007";4;23;56;139;182;201;169;144;157;144;129;94;88;67;56;34;25;27;1739
"Total";6;40;120;235;319;320;293;265;265;225;201;154;139;99;80;46;30;38;2875
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
