 Morbidade Hospitalar do SUS - por local de residência - Pernambuco
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";3;6;9;7;7;4;4;4;3;3;1;2;4;3;3;-;1;3;67
"2008";115;370;700;342;166;173;167;121;92;122;75;78;59;46;38;30;22;32;2748
"2009";28;82;96;69;39;50;33;35;30;20;24;9;13;15;17;7;7;8;582
"2010";264;459;1213;1015;333;332;296;249;230;208;180;138;120;114;80;80;50;56;5417
"2011";148;455;720;681;370;295;244;225;205;194;165;132;125;124;86;68;49;67;4353
"2012";114;294;364;321;247;213;181;180;161;161;128;110;118;87;80;47;39;78;2923
"2013";42;63;118;75;66;62;47;54;38;35;24;32;22;23;22;26;14;19;782
"2014";52;66;100;75;58;62;48;36;27;37;30;25;22;24;13;13;9;18;715
"2015";146;211;175;129;95;114;83;78;78;89;69;87;87;82;107;89;99;182;2000
"2016";328;370;262;210;72;67;76;62;72;84;107;102;95;106;147;135;175;278;2748
"2017";40;128;108;56;20;10;20;8;14;17;15;12;7;6;6;9;11;9;496
"2018";87;164;329;190;95;49;38;35;34;33;39;25;29;14;19;13;11;15;1219
"2019";124;177;573;402;148;79;68;65;56;38;47;41;31;36;38;24;23;29;1999
"2020";41;59;139;109;26;24;18;17;19;20;8;9;7;12;12;10;6;6;542
"2021";82;146;272;186;55;29;26;25;31;21;15;25;14;14;19;11;16;13;1000
"2022";42;48;117;99;37;27;25;21;11;26;27;16;14;11;16;8;14;15;574
"Total";1656;3098;5295;3966;1834;1590;1374;1215;1101;1108;954;843;767;717;703;570;546;828;28165
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
