year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,115,370,700,342,166,173,167,121,92,122,75,78,59,46,38,30,22,32
2009,28,82,96,69,39,50,33,35,30,20,24,9,13,15,17,7,7,8
2010,264,459,1213,1015,333,332,296,249,230,208,180,138,120,114,80,80,50,56
2011,148,455,720,681,370,295,244,225,205,194,165,132,125,124,86,68,49,67
2012,114,294,364,321,247,213,181,180,161,161,128,110,118,87,80,47,39,78
2013,42,63,118,75,66,62,47,54,38,35,24,32,22,23,22,26,14,19
2014,52,66,100,75,58,62,48,36,27,37,30,25,22,24,13,13,9,18
2015,146,211,175,129,95,114,83,78,78,89,69,87,87,82,107,89,99,182
2016,328,370,262,210,72,67,76,62,72,84,107,102,95,106,147,135,175,278
2017,40,128,108,56,20,10,20,8,14,17,15,12,7,6,6,9,11,9
2018,87,164,329,190,95,49,38,35,34,33,39,25,29,14,19,13,11,15
2019,124,177,573,402,148,79,68,65,56,38,47,41,31,36,38,24,23,29
2020,41,59,139,109,26,24,18,17,19,20,8,9,7,12,12,10,6,6
