 Morbidade Hospitalar do SUS - por local de residência - Pernambuco
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";9;40;65;46;54;83;68;69;44;45;35;34;26;32;33;34;25;21;763
"1999";1;11;24;40;55;60;55;53;48;28;36;35;36;28;25;19;7;15;576
"2000";1;6;11;31;51;69;55;46;42;25;34;29;40;34;18;15;19;20;546
"2001";4;16;43;53;77;90;99;77;67;53;42;34;34;45;29;28;20;25;836
"2002";23;139;198;201;240;296;228;217;204;185;116;134;128;101;100;75;78;60;2723
"2003";15;92;64;86;141;147;133;108;89;73;62;58;55;72;42;33;34;34;1338
"2004";4;21;20;23;61;48;40;40;32;20;17;15;24;15;18;12;6;15;431
"2005";3;20;40;30;42;64;51;44;30;28;24;24;14;19;19;10;8;9;479
"2006";13;74;143;101;82;90;96;65;72;53;49;39;29;18;21;20;8;20;993
"2007";70;237;499;177;96;118;116;86;66;61;42;37;33;34;24;28;20;24;1768
"Total";143;656;1107;788;899;1065;941;805;694;571;457;439;419;398;329;274;225;243;10453
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
