 Morbidade Hospitalar do SUS - por local de residência - Piauí
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;2;1;4;-;5;3;2;2;1;-;3;1;2;-;-;-;-;26
"2008";12;68;91;135;182;193;159;122;114;82;80;75;72;53;35;27;26;33;1559
"2009";15;53;105;161;240;249;222;185;150;133;140;112;109;88;81;63;42;38;2186
"2010";42;93;208;248;328;361;328;268;207;222;192;155;162;117;92;79;52;61;3215
"2011";32;103;179;237;309;302;270;200;217;133;157;142;110;79;77;63;42;45;2697
"2012";19;75;128;212;278;261;219;178;172;143;122;124;102;93;70;57;42;44;2339
"2013";20;46;67;104;190;144;123;151;102;94;88;88;68;65;39;33;23;33;1478
"2014";20;63;95;109;172;129;116;123;99;78;68;70;76;50;36;49;16;28;1397
"2015";14;50;66;95;111;110;96;93;75;67;78;69;51;54;52;36;41;45;1203
"2016";13;28;49;47;77;63;60;67;45;35;49;45;41;39;36;25;23;24;766
"2017";12;18;42;41;44;46;45;40;36;33;29;40;30;22;20;16;25;34;573
"2018";3;4;10;11;24;17;16;18;19;19;10;18;15;16;11;10;20;8;249
"2019";12;25;73;87;76;57;55;51;55;51;41;41;39;32;40;26;16;26;803
"2020";-;9;10;15;10;9;2;10;8;6;6;3;6;6;5;4;2;4;115
"2021";10;25;60;34;28;21;13;19;21;10;13;9;12;7;3;1;2;10;298
"2022";32;111;191;197;141;153;148;97;117;107;89;87;93;82;75;74;72;86;1952
"Total";256;773;1375;1737;2210;2120;1875;1624;1439;1214;1162;1081;987;805;672;563;444;519;20856
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
