year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,12,68,91,135,182,193,159,122,114,82,80,75,72,53,35,27,26,33
2009,15,53,105,161,240,249,222,185,150,133,140,112,109,88,81,63,42,38
2010,42,93,208,248,328,361,328,268,207,222,192,155,162,117,92,79,52,61
2011,32,103,179,237,309,302,270,200,217,133,157,142,110,79,77,63,42,45
2012,19,75,128,212,278,261,219,178,172,143,122,124,102,93,70,57,42,44
2013,20,46,67,104,190,144,123,151,102,94,88,88,68,65,39,33,23,33
2014,20,63,95,109,172,129,116,123,99,78,68,70,76,50,36,49,16,28
2015,14,50,66,95,111,110,96,93,75,67,78,69,51,54,52,36,41,45
2016,13,28,49,47,77,63,60,67,45,35,49,45,41,39,36,25,23,24
2017,12,18,42,41,44,46,45,40,36,33,29,40,30,22,20,16,25,34
2018,3,4,10,11,24,17,16,18,19,19,10,18,15,16,11,10,20,8
2019,12,25,73,87,76,57,55,51,55,51,41,41,39,32,40,26,16,26
2020,0,9,10,15,10,9,2,10,8,6,6,3,6,6,5,4,2,4
