 Morbidade Hospitalar do SUS - por local de residência - Piauí
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";2;4;6;15;25;43;26;35;26;27;16;11;19;14;9;5;4;4;291
"1999";1;-;2;4;7;5;8;8;5;5;3;5;3;2;1;2;1;2;64
"2000";1;3;17;27;57;53;34;42;33;30;33;35;21;16;23;20;8;3;456
"2001";4;14;41;81;148;145;104;104;89;78;67;72;56;38;43;39;19;18;1160
"2002";10;23;76;214;384;443;380;381;292;235;239;237;192;151;119;82;60;46;3564
"2003";15;66;129;340;721;726;639;612;547;463;397;370;343;276;215;175;126;113;6273
"2004";3;13;31;60;130;128;116;77;75;68;65;68;45;55;45;27;27;28;1061
"2005";4;44;75;150;336;364;278;274;248;232;187;172;152;146;99;84;71;72;2988
"2006";9;40;99;159;277;309;249;205;170;202;147;153;132;117;102;63;51;50;2534
"2007";36;129;271;288;404;387;357;300;236;241;227;201;195;116;124;98;79;85;3774
"Total";85;336;747;1338;2489;2603;2191;2038;1721;1581;1381;1324;1158;931;780;595;446;421;22165
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
