 Morbidade Hospitalar do SUS - por local de residência - Rio de Janeiro
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";5;13;56;46;19;15;14;10;14;11;8;9;6;5;4;1;1;1;238
"2008";542;713;3420;3497;1245;924;928;821;796;793;753;653;525;410;295;220;154;145;16834
"2009";27;100;167;154;95;91;74;69;66;61;56;55;33;27;14;15;17;13;1134
"2010";102;231;643;820;385;342;336;302;295;277;280;244;195;151;95;61;45;45;4849
"2011";304;660;1329;1943;890;650;531;523;446;425;457;397;325;285;191;152;110;116;9734
"2012";109;263;385;615;335;287;250;245;243;194;200;196;160;121;93;55;42;44;3837
"2013";83;158;269;416;365;325;279;339;284;266;263;242;243;176;140;98;89;115;4150
"2014";28;54;55;51;37;32;35;23;41;19;23;18;24;23;12;12;3;11;501
"2015";51;100;194;240;204;208;192;187;173;168;178;175;141;128;110;81;71;94;2695
"2016";67;101;176;222;153;139;112;136;138;112;136;146;143;116;80;85;52;111;2225
"2017";16;33;31;27;21;27;21;15;16;12;16;15;16;16;9;7;8;8;314
"2018";9;21;48;36;22;26;15;22;25;29;30;28;26;23;22;13;8;12;415
"2019";14;34;35;43;29;29;23;28;34;31;34;44;39;46;41;27;26;47;604
"2020";2;5;14;14;13;15;17;12;10;14;9;12;12;11;6;7;6;11;190
"2021";2;17;18;27;8;2;8;6;4;5;7;12;4;9;9;3;5;6;152
"2022";12;26;37;52;23;22;17;18;19;15;16;11;13;14;9;7;4;7;322
"Total";1373;2529;6877;8203;3844;3134;2852;2756;2604;2432;2466;2257;1905;1561;1130;844;641;786;48194
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
