year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,542,713,3420,3497,1245,924,928,821,796,793,753,653,525,410,295,220,154,145
2009,27,100,167,154,95,91,74,69,66,61,56,55,33,27,14,15,17,13
2010,102,231,643,820,385,342,336,302,295,277,280,244,195,151,95,61,45,45
2011,304,660,1329,1943,890,650,531,523,446,425,457,397,325,285,191,152,110,116
2012,109,263,385,615,335,287,250,245,243,194,200,196,160,121,93,55,42,44
2013,83,158,269,416,365,325,279,339,284,266,263,242,243,176,140,98,89,115
2014,28,54,55,51,37,32,35,23,41,19,23,18,24,23,12,12,3,11
2015,51,100,194,240,204,208,192,187,173,168,178,175,141,128,110,81,71,94
2016,67,101,176,222,153,139,112,136,138,112,136,146,143,116,80,85,52,111
2017,16,33,31,27,21,27,21,15,16,12,16,15,16,16,9,7,8,8
2018,9,21,48,36,22,26,15,22,25,29,30,28,26,23,22,13,8,12
2019,14,34,35,43,29,29,23,28,34,31,34,44,39,46,41,27,26,47
2020,2,5,14,14,13,15,17,12,10,14,9,12,12,11,6,7,6,11
