 Morbidade Hospitalar do SUS - por local de residência - Rio de Janeiro
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";1;3;7;8;16;10;15;11;14;7;6;5;2;5;1;1;-;1;113
"1999";2;3;3;10;6;11;15;4;11;5;3;4;2;3;2;3;1;1;89
"2000";-;1;2;2;2;5;3;3;4;3;3;-;4;-;1;-;1;-;34
"2001";8;21;38;60;94;150;114;104;130;97;70;70;43;28;24;20;19;16;1106
"2002";77;480;810;769;729;886;783;737;730;650;492;440;306;217;206;172;111;126;8721
"2003";5;32;55;87;107;117;112;91;99;77;56;45;31;37;22;10;8;8;999
"2004";1;7;11;16;17;26;12;11;13;12;8;7;8;3;4;3;6;1;166
"2005";-;4;15;12;14;14;20;18;10;15;7;9;5;-;6;1;-;1;151
"2006";5;20;63;98;90;98;93;63;71;57;47;38;31;20;16;15;6;3;834
"2007";28;91;369;412;275;288;298;205;203;191;155;146;109;93;55;48;40;28;3034
"Total";127;662;1373;1474;1350;1605;1465;1247;1285;1114;847;764;541;406;337;273;192;185;15247
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
